Full Sample ID,Color,Site,Batch,Emergence Date 1,Emergence Date 2,"Total Emergence
 Number",,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,Treatment,Color,Site,Site abbr,Batch
,Pink,,,,,,,,Crab Ambient,Blue,Castle Rock,CR,1
,Blue,,,,,,,,Crab Warm,Red,Singing Beach,SB,2
,Red,,,,,,,,No Crab Ambient,Green,Ram Island,RI,3
,Green,,,,,,,,No Crab Warm,Pink,Bass Rock,BR,4
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
,Blue,,,,,,,,,,,,
,Red,,,,,,,,,,,,
,Green,,,,,,,,,,,,
,Pink,,,,,,,,,,,,
