Tin,Full.Sample.ID,Sample_Code,Snail_Num,Treatment,Temperature,Risk,Color,Pre.burned.pan,Dry.Snail.Weight,Ashed.Snails.Ashed.Tin,Date.weighed,Date.ashed,Tissue.Mass,Shell.Mass,length,width
99,BRB1_1,BRB1,1,Ambient + Crab,Ambient,Present,B,208.831,0.149,208.932,20251022,20251020,0.048,0.101,0.97,0.88
27,BRB2_1,BRB2,1,Ambient + Crab,Ambient,Present,B,207.358,0.175,207.475,20251006,20251008,0.058,0.117,1.17,0.95
66,BRB2_2,BRB2,2,Ambient + Crab,Ambient,Present,B,206.411,0.064,206.445,20251014,20251014,0.03,0.034,1.12,0.89
59,BRB3_2,BRB3,2,Ambient + Crab,Ambient,Present,B,205.967,0.205,206.099,20251014,20251014,0.073,0.132,NA,NA
94,BRB4_1,BRB4,1,Ambient + Crab,Ambient,Present,B,210.429,0.106,210.484,20251022,20251020,0.051,0.055,1.13,0.87
140,BRB4_2,BRB4,2,Ambient + Crab,Ambient,Present,B,210.254,0.102,210.333,20251029,20251028,0.023,0.079,1.02,0.81
124,BRB5_1,BRB5,1,Ambient + Crab,Ambient,Present,B,210.287,0.155,210.41,20251029,20251028,0.032,0.123,1.17,0.9
161,BRB5_2,BRB5,2,Ambient + Crab,Ambient,Present,B,210.389,0.214,210.537,20251029,20251028,0.066,0.148,1.15,0.98
93,BRB6_1,BRB6,1,Ambient + Crab,Ambient,Present,B,207.755,0.24,207.915,20251022,20251020,0.08,0.16,1.36,1.11
115,BRG1_1,BRG1,1,Ambient + No Crab,Ambient,Absent,G,207.782,0.088,207.805,20251029,20251028,0.065,0.023,1.24,0.94
152,BRG1_2,BRG1,2,Ambient + No Crab,Ambient,Absent,G,208.152,0.095,208.225,20251029,20251028,0.022,0.073,0.97,0.85
83,BRG2_1,BRG2,1,Ambient + No Crab,Ambient,Absent,G,207.958,0.138,208.051,20251022,20251020,0.045,0.093,1.09,0.85
151,BRG2_2,BRG2,2,Ambient + No Crab,Ambient,Absent,G,210.383,0.075,210.435,20251029,20251028,0.023,0.052,1.02,0.91
133,BRG3_1,BRG3,1,Ambient + No Crab,Ambient,Absent,G,209.425,0.24,209.602,20251029,20251028,0.063,0.177,1.24,0.96
170,BRG3_2,BRG3,2,Ambient + No Crab,Ambient,Absent,G,208.48,0.433,208.768,20251029,20251028,0.145,0.288,1.5,1.1
71,BRG4_1,BRG4,1,Ambient + No Crab,Ambient,Absent,G,206.75,0.242,206.934,20251014,20251014,0.058,0.184,1.19,1.05
104,BRG4_2,BRG4,2,Ambient + No Crab,Ambient,Absent,G,209.423,0.246,209.616,20251022,20251020,0.053,0.193,1.16,1.04
122,BRG5_1,BRG5,1,Ambient + No Crab,Ambient,Absent,G,209.002,0.204,209.149,20251029,20251028,0.057,0.147,1.22,0.94
159,BRG5_2,BRG5,2,Ambient + No Crab,Ambient,Absent,G,208.828,0.177,208.947,20251029,20251028,0.058,0.119,1.28,0.97
88,BRG6_1,BRG6,1,Ambient + No Crab,Ambient,Absent,G,210.315,0.114,210.394,20251022,20251020,0.035,0.079,1.03,0.89
146,BRG6_2,BRG6,2,Ambient + No Crab,Ambient,Absent,G,208.643,0.103,208.727,20251029,20251028,0.019,0.084,1.09,0.92
17,BRP1_1,BRP1,1,Heated + No Crab,Warming,Absent,P,207.937,0.225,208.082,20251006,20251008,0.08,0.145,1.28,0.86
56,BRP1_2,BRP1,2,Heated + No Crab,Warming,Absent,P,206.742,0.341,206.976,20251014,20251014,0.107,0.234,1.33,0.94
76,BRP2_2,BRP2,2,Heated + No Crab,Warming,Absent,P,207.442,0.137,207.539,20251014,20251014,0.04,0.097,1,0.73
6,BRP3_1,BRP3,1,Heated + No Crab,Warming,Absent,P,208.713,0.313,208.926,20251006,20251008,0.1,0.213,1.31,0.81
77,BRP3_2,BRP3,2,Heated + No Crab,Warming,Absent,P,208.33,0.184,208.457,20251014,20251014,0.057,0.127,1,0.79
8,BRP4_1,BRP4,1,Heated + No Crab,Warming,Absent,P,206.777,0.095,206.827,20251006,20251008,0.045,0.05,1.23,0.84
75,BRP4_2,BRP4,2,Heated + No Crab,Warming,Absent,P,206.97,0.264,207.142,20251014,20251014,0.092,0.172,1.2,0.96
116,BRP5_1,BRP5,1,Heated + No Crab,Warming,Absent,P,210.495,0.051,210.542,20251029,20251028,0.004,0.047,0.82,0.66
153,BRP5_2,BRP5,2,Heated + No Crab,Warming,Absent,P,207.675,0.097,207.752,20251029,20251028,0.02,0.077,0.98,0.84
16,BRP6_1,BRP6,1,Heated + No Crab,Warming,Absent,P,207.385,0.151,207.504,20251006,20251008,0.032,0.119,1.12,0.9
57,BRP6_2,BRP6,2,Heated + No Crab,Warming,Absent,P,207.405,0.176,207.542,20251014,20251014,0.039,0.137,1.26,0.93
13,BRR2_5,BRR2,5,Heated + Crab,Warming,Present,R,207.195,0.053,207.23,20251006,20251008,0.018,0.035,1.12,0.84
60,BRR2_6,BRR2,6,Heated + Crab,Warming,Present,R,205.69,0.198,205.831,20251014,20251014,0.057,0.141,1.18,0.89
14,BRR3_1,BRR3,1,Heated + Crab,Warming,Present,R,207.561,0.334,207.81,20251006,20251008,0.085,0.249,1.36,1.06
10,BRR4_1,BRR4,1,Heated + Crab,Warming,Present,R,206.22,0.218,206.377,20251006,20251008,0.061,0.157,1.23,0.79
63,BRR4_2,BRR4,2,Heated + Crab,Warming,Present,R,209.373,0.218,209.527,20251014,20251014,0.064,0.154,1.16,0.7
119,BRR5_1,BRR5,1,Heated + Crab,Warming,Present,R,209.079,0.111,209.164,20251029,20251028,0.026,0.085,1.03,0.82
156,BRR5_2,BRR5,2,Heated + Crab,Warming,Present,R,209.614,0.055,209.652,20251029,20251028,0.017,0.038,0.9,0.73
96,BRR6_1,BRR6,1,Heated + Crab,Warming,Present,R,209.698,0.133,209.792,20251022,20251020,0.039,0.094,1.1,0.84
138,BRR6_2,BRR6,2,Heated + Crab,Warming,Present,R,210.922,0.126,211.021,20251029,20251028,0.027,0.099,1.09,0.79
126,CRB1_1,CRB1,1,Ambient + Crab,Ambient,Present,B,208.58,0.192,208.717,20251029,20251028,0.055,0.137,1.14,0.93
163,CRB1_2,CRB1,2,Ambient + Crab,Ambient,Present,B,209.49,0.178,209.605,20251029,20251028,0.063,0.115,1.13,0.91
129,CRB2_1,CRB2,1,Ambient + Crab,Ambient,Present,B,207.563,0.411,207.845,20251029,20251028,0.129,0.282,1.41,1.04
166,CRB2_2,CRB2,2,Ambient + Crab,Ambient,Present,B,210.145,0.318,210.364,20251029,20251028,0.099,0.219,1.31,0.94
26,CRB3_1,CRB3,1,Ambient + Crab,Ambient,Present,B,206.618,0.131,206.633,20251006,20251008,0.116,0.015,1.38,1.06
111,CRB3_2,CRB3,2,Ambient + Crab,Ambient,Present,B,208.629,0.2,208.779,20251022,20251020,0.05,0.15,1.17,0.91
90,CRB4_1,CRB4,1,Ambient + Crab,Ambient,Present,B,209.143,0.25,209.332,20251022,20251020,0.061,0.189,1.29,1.03
144,CRB4_3,CRB4,3,Ambient + Crab,Ambient,Present,B,208.366,0.331,208.627,20251029,20251028,0.07,0.261,1.45,1.19
87,CRB5_1,CRB5,1,Ambient + Crab,Ambient,Present,B,208.957,0.255,209.104,20251022,20251020,0.108,0.147,1.34,1.01
147,CRB5_2,CRB5,2,Ambient + Crab,Ambient,Present,B,210.772,0.233,210.948,20251029,20251028,0.057,0.176,1.25,1.05
135,CRB6_1,CRB6,1,Ambient + Crab,Ambient,Present,B,208.374,0.341,208.636,20251029,20251028,0.079,0.262,0.91,0.64
172,CRB6_2,CRB6,2,Ambient + Crab,Ambient,Present,B,210.057,0.131,210.171,20251029,20251028,0.017,0.114,0.73,0.58
85,CRG1_1,CRG1,1,Ambient + No Crab,Ambient,Absent,G,208.725,0.062,208.761,20251022,20251020,0.026,0.036,0.91,0.82
149,CRG1_2,CRG1,2,Ambient + No Crab,Ambient,Absent,G,209.748,0.141,209.85,20251029,20251028,0.039,0.102,1.18,1.04
125,CRG2_1,CRG2,1,Ambient + No Crab,Ambient,Absent,G,209.922,0.212,210.083,20251029,20251028,0.051,0.161,1.09,0.94
162,CRG2_2,CRG2,2,Ambient + No Crab,Ambient,Absent,G,207.873,0.121,207.97,20251029,20251028,0.024,0.097,1.08,0.89
97,CRG3_1,CRG3,1,Ambient + No Crab,Ambient,Absent,G,206.755,0.185,206.894,20251022,20251020,0.046,0.139,1.16,0.88
137,CRG3_2,CRG3,2,Ambient + No Crab,Ambient,Absent,G,209.268,0.12,209.272,20251029,20251028,0.116,0.004,1.03,0.73
118,CRG4_1,CRG4,1,Ambient + No Crab,Ambient,Absent,G,209.632,0.447,209.972,20251029,20251028,0.107,0.34,1.57,1.22
155,CRG4_2,CRG4,2,Ambient + No Crab,Ambient,Absent,G,209.732,0.263,209.908,20251029,20251028,0.087,0.176,1.29,1.02
86,CRG5_1,CRG5,1,Ambient + No Crab,Ambient,Absent,G,209.786,0.173,209.899,20251022,20251020,0.06,0.113,1.21,1.05
148,CRG5_2,CRG5,2,Ambient + No Crab,Ambient,Absent,G,209.671,0.076,209.727,20251029,20251028,0.02,0.056,0.92,0.83
132,CRG6_1,CRG6,1,Ambient + No Crab,Ambient,Absent,G,209.898,0.35,210.141,20251029,20251028,0.107,0.243,1.4,1.13
169,CRG6_2,CRG6,2,Ambient + No Crab,Ambient,Absent,G,209.885,0.203,210.032,20251029,20251028,0.056,0.147,1.22,0.9
72,CRP1_1,CRP1,1,Heated + No Crab,Warming,Absent,P,206.224,0.321,206.47,20251014,20251014,0.075,0.246,1.33,0.97
105,CRP1_2,CRP1,2,Heated + No Crab,Warming,Absent,P,209.543,0.214,209.71,20251022,20251020,0.047,0.167,1.16,0.96
92,CRP2_1,CRP2,1,Heated + No Crab,Warming,Absent,P,208.366,0.306,208.583,20251022,20251020,0.089,0.217,1.48,1.05
142,CRP2_2,CRP2,2,Heated + No Crab,Warming,Absent,P,210.222,0.364,210.45,20251029,20251028,0.136,0.228,1.53,1
25,CRP3_1,CRP3,1,Heated + No Crab,Warming,Absent,P,207.245,0.156,207.364,20251006,20251008,0.037,0.119,1.14,0.83
112,CRP3_2,CRP3,2,Heated + No Crab,Warming,Absent,P,209.347,0.24,209.515,20251022,20251020,0.072,0.168,1.24,1
70,CRP4_1,CRP4,1,Heated + No Crab,Warming,Absent,P,207.299,0.145,207.394,20251014,20251014,0.05,0.095,1.12,0.99
69,CRP4_2,CRP4,2,Heated + No Crab,Warming,Absent,P,209.555,0.129,209.643,20251022,20251020,0.041,0.088,1.01,0.92
