Site,Date,Time,Temperature,Weather,Quadrat,Total # ec,# laying adults,"# other 
Nucella",% cover B,% cover M,"% cover
Asco","% cover
 Fucus","% cover 
other",# Carcinus,# Hemi,Notes
Bass Rock,20250529,6:30,9.4,Cloudy,1,450,13,98,30,0,0,0,70,0,0,Chondrus crispus 
,,,,,2,,,,,,,,,,,
,,,,,3,,,,,,,,,,,
,,,,,4,,,,,,,,,,,
,,,,,5,,,,,,,,,,,
,,,,,6,,,,,,,,,,,
,,,,,7,,,,,,,,,,,
,,,,,8,,,,,,,,,,,
,,,,,9,,,,,,,,,,,
,,,,,10,,,,,,,,,,,
,,,,,11,,,,,,,,,,,
,,,,,12,,,,,,,,,,,
,,,,,13,,,,,,,,,,,
,,,,,14,,,,,,,,,,,
,,,,,15,,,,,,,,,,,
