Full Sample ID,Color,Site,Batch,Emergence Date 1,Emergence Date 2,EC #,"Total Emergence
 Number",Notes,Count Jan. '26,,,,,,
CRB1,Blue,Castle Rock,1,20250716,20250718,30,30,,21,,,,,,
CRR1,Red,Castle Rock,1,20250716,20250716,18,18,,11,,Blue,375,,Blue Castle Rock,119
CRG1,Green,Castle Rock,1,20250714,20250718,1,25,,28,,Red,403,,Blue Ram Island,114
CRP1,Pink,Castle Rock,1,20250709,20250714,1,24,,30,,Green,391,,Blue Bass Rock,142
CRB2,Blue,Castle rock,2,20250718,20250725,1,16,,22,,Pink,410,,Red Castle Rock,115
CRR2,Red,Castle Rock,2,20250714,20250716,2,57,,28,,,,,Red Ram Island,149
CRG2,Green,Castle Rock,2,20250716,20250721,1,29,,36,,,,,Red Bass Rock,139
CRP2,Pink,Castle Rock,2,20250711,20250711,2,44,,27,,,,,Green Castle rock,138
CRB3,Blue,Castle Rock,3,20250709,20250721,1,13,,31,,,,,Green Ram Island,123
CRR3,Red,Castle Rock,3,20250709,20250709,2,36,,28,,,,,Green Bass Rock,130
CRG3,Green,Castle Rock,3,20250711,20250716,1,24,Found empty and drained 20250609,24,,,,,Pink Castle Rock,122
CRP3,Pink,Castle Rock,3,20250709,20250709,2,44,,29,,,,,Pink Ram Island,148
CRB4,Blue,Castle Rock,4,20250714,20250716,1,18,,30,,,,,Pink Bass Rock,140
CRR4,Red,Castle Rock,4,20250709,20250709,2,50,"Most likely emerged 07/09 but fed mussels 07/14, secoond time of counting resulted in 74 total emerged snails",24,,,,,,
CRG4,Green,Castle Rock,4,20250716,20250716,2,24,,16,,,,,,
CRP4,Pink,Castle Rock,4,20250709,20250716,1,21,,22,,,,,,
CRB5,Blue,Castle Rock,5,20250714,Dead,1,16,,11,,,,,,
CRR5,Red,Castle Rock,5,20250718,20250718,2,20,,13,,,,,,
CRG5,Green,Castle Rock,5,20250714,20250716,2,46,"Fell in water, as many as possible picked up",28,Dead snails were removed by mistake,,,,,
CRP5,Pink,Castle Rock,5,Dead,Dead,0,0,,0,,,,,,
CRB6,Blue,Castle Rock,6,20250730,20250730,2,4,,4,,,,,,
CRR6,Red,Castle Rock,6,20250714,20250716,1,5,Only 5 snails emerged,11,,,,,,
CRG6,Green,Castle Rock,6,20250718,20250806,1,14,,6,,,,,,
CRP6,Pink,Castle Rock,6,20250714,Dead,1,21,,14,,,,,,
RIB1,Blue,Ram Island,1,20250711,20250711,2,22,,21,Dead snails were removed by mistake,,,,,
RIR1,Red,Ram Island,1,20250711,20250711,2,21,,27,,,,,,
RIG1,Green,Ram Island,1,20250718,Dead,1,31,,22,,,,,,
RIP1,Pink,Ram Island,1,20250718,20250718,2,37,,25,,,,,,
RIB2,Blue,Ram Island,2,20250707,20250714,1,33,,36,,,,,,
RIR2,Red,Ram Island,2,20250630,20250704,2,34,,27,,,,,,
RIG2,Green,Ram Island,2,20250704,20250704,2,12,,10,,,,,,
