Site,Date,Time,Weather,Transect,Quadrat,Total # ec,# laying adults,# other Nucella,% cover B,% cover M,"% cover
Asco",% cover Fucus,% cover other,# Carcinus,# Hemi,Notes,
Bass Rock,20250627,6:00,Sunny,1,1,0,0,8,2,0,0,0,98,0,0,C. crispus,100
Bass Rock,20250627,6:00,Sunny,1,2,230,0,19,55,0,0,0,45,0,0,C. crispus,100
Bass Rock,20250627,6:00,Sunny,1,3,0,0,0,20,0,0,0,80,0,0,Bare stone +C. crispus,100
Bass Rock,20250627,6:00,Sunny,1,4,0,0,0,5,1,0,0,94,0,0,Bare stone,100
Bass Rock,20250627,6:00,Sunny,1,5,0,0,21,50,0,0,0,50,0,0,C. crispus,100
Bass Rock,20250627,6:00,Sunny,1,6,0,0,6,10,0,0,0,90,0,0,C. crispus,100
Ram Island ,20250627,7:56,Sunny,1,1,0,0,0,5,3,0,0,92,0,0,Littorina + Rock,100
Ram Island ,20250627,7:56,Sunny,1,2,0,0,0,0,0,0,0,100,0,0,Littorina + Rock,100
Ram Island ,20250627,7:56,Sunny,1,3,0,0,10,90,0,0,10,0,0,0,,100
Ram Island ,20250627,7:56,Sunny,1,4,0,0,0,90,8,2,0,0,0,0,,100
Ram Island ,20250627,7:56,Sunny,1,5,165,2,23,80,10,10,0,0,0,0,,100
Ram Island ,20250627,7:56,Sunny,1,6,0,0,4,60,5,35,0,0,2,0,,100
Castle Rock ,20250627,10:04,Sunny,1,1,0,0,0,3,0,0,30,67,0,0,,100
Castle Rock ,20250627,10:04,Sunny,1,2,0,0,0,0,0,0,0,100,0,0,,100
Castle Rock ,20250627,10:04,Sunny,1,3,0,0,0,30,10,0,10,50,0,0,,100
Castle Rock ,20250627,10:04,Sunny,1,4,30,0,23,96,4,0,0,0,0,0,,100
Castle Rock ,20250627,10:04,Sunny,1,5,130,0,22,80,5,5,0,10,0,0,,100
Castle Rock ,20250627,10:04,Sunny,1,6,95,3,46,90,0,6,0,4,0,0,,100
Bass Rock,20250714,6:15,Cloudy,1,1,0,0,0,30,10,0,20,50,0,0,Rock,110
Bass Rock,20250714,6:15,Cloudy,1,2,0,0,41,60,30,0,10,0,0,0,Mussel seed,100
Bass Rock,20250714,6:15,Cloudy,1,3,0,0,19,30,50,0,5,15,0,0,Mussel seed+ Chondus crispus,100
Bass Rock,20250714,6:15,Cloudy,1,4,0,0,18,20,30,0,10,40,0,0,Bare stone,100
Bass Rock,20250714,6:15,Cloudy,1,5,0,0,0,2,0,0,0,98,0,0,Bare stone,100
Ram Island ,20250714,7:15,Partly cloudy,1,1,0,0,16,75,20,0,0,5,0,0,C. crispus,100
Ram Island ,20250714,7:15,Partly cloudy,1,2,98,0,51,60,0,0,0,40,0,0,Ulva,100
Ram Island ,20250714,7:15,Partly cloudy,1,3,37,0,12,40,0,0,0,60,0,0,C. crispus+Ulva,100
Ram Island ,20250714,7:15,Partly cloudy,1,4,0,0,0,10,5,0,0,85,0,0,Bare stone,100
Ram Island ,20250714,7:15,Partly cloudy,1,5,0,0,38,90,5,0,0,5,0,0,Bare stone,100
Ram Island ,20250714,7:15,Partly cloudy,1,6,0,0,0,30,5,0,0,65,0,0,Bare stone,100
Castle Rock ,20250714,9:15,Partly cloudy,1,1,430,2,18,97,0,0,0,3,0,0,C. crispus,100
Castle Rock ,20250714,9:15,Partly cloudy,1,2,225,1,48,75,5,15,0,5,0,0,C. crispus,100
Castle Rock ,20250714,9:15,Partly cloudy,1,3,0,0,75,80,20,0,0,0,0,0,,100
Castle Rock ,20250714,9:15,Partly cloudy,1,4,60,0,152,95,0,0,0,5,0,0,Rock,100
Castle Rock ,20250714,9:15,Partly cloudy,1,5,0,0,0,95,5,0,0,0,0,0,,100
Bass Rock,20250812,6:30,Sunny,1,1,0,0,0,70,15,5,5,5,0,0,Bare stone,100
Bass Rock,20250812,6:30,Sunny,1,2,0,0,7,20,0,0,0,80,0,0,C. crispus + Littorina,100
Bass Rock,20250812,6:30,Sunny,1,3,0,0,26,50,0,0,0,50,0,0,Bare stone,100
Bass Rock,20250812,6:30,Sunny,1,4,0,0,31,70,0,5,0,25%,0,0,20% Chondus; 5% Bare,100
Bass Rock,20250813,6:30,Sunny,1,5,0,0,25,5,0,0,0,95%,0,0,10% Chondus; 85% Bare,100
Bass Rock,20250812,6:30,Sunny,1,6,0,0,24,10,0,0,0,90%,0,0,20% Chondus; 70% Bare,100
Ram Island ,20250812,7:30,Sunny,1,1,85,2,8,20,0,20,0,60%,1,0,15% Chondus; 45% Bare,100
Ram Island ,20250812,7:30,Sunny,1,2,0,0,1,80,10,0,0,10%,0,0,Bare stone,100
Ram Island ,20250812,7:30,Sunny,1,3,0,0,0,60,2,0,30,8,0,0,Bare stone,100
Ram Island ,20250812,7:30,Sunny,1,4,28,0,0,20,2,40,10,28%,0,0,10% Ulva; 18% Chondus,100
Ram Island ,20250812,7:30,Sunny,1,5,0,0,0,75,4,5,0,16%,0,0,Bare stone,100
Ram Island ,20250812,7:30,Sunny,1,6,0,0,0,60,4,10,10,16%,0,0,Bare stone,100
