Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 8,4.31,N/A,N/A,N/A,N/A,N/A,BRG3_L_1
2,Captured 8,2.69,N/A,N/A,N/A,N/A,N/A,BRG3_W_1
3,Captured 7,7.43,N/A,N/A,N/A,N/A,N/A,BRG3_L_2
4,Captured 7,4.29,N/A,N/A,N/A,N/A,N/A,BRG3_W_2
5,Captured 6,9.91,N/A,N/A,N/A,N/A,N/A,BRG3_L_3
6,Captured 6,5.69,N/A,N/A,N/A,N/A,N/A,BRG3_W_3
7,Captured 5,10.1,N/A,N/A,N/A,N/A,N/A,BRG3_L_4
8,Captured 5,5.76,N/A,N/A,N/A,N/A,N/A,BRG3_W_4
9,Captured 4,4.07,N/A,N/A,N/A,N/A,N/A,BRG3_L_5
10,Captured 4,3.06,N/A,N/A,N/A,N/A,N/A,BRG3_W_5
11,Captured 4,7.77,N/A,N/A,N/A,N/A,N/A,BRG3_L_6
12,Captured 4,4.73,N/A,N/A,N/A,N/A,N/A,BRG3_W_6
13,Captured 3,7.97,N/A,N/A,N/A,N/A,N/A,BRG3_L_7
14,Captured 3,5.02,N/A,N/A,N/A,N/A,N/A,BRG3_W_7
15,Captured 2,11.41,N/A,N/A,N/A,N/A,N/A,BRG3_L_8
16,Captured 2,6.98,N/A,N/A,N/A,N/A,N/A,BRG3_W_8
17,Captured 1,10.14,N/A,N/A,N/A,N/A,N/A,BRG3_L_9
18,Captured 1,6.23,N/A,N/A,N/A,N/A,N/A,BRG3_W_9
19,Captured,8.84,N/A,N/A,N/A,N/A,N/A,BRG3_L_10
20,Captured,5.24,N/A,N/A,N/A,N/A,N/A,BRG3_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],6.58,2.47,2.69,11.41,131.64,,,
