Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 5,13.02,N/A,N/A,N/A,N/A,N/A,RIB3_L_1
2,Captured 5,7.63,N/A,N/A,N/A,N/A,N/A,RIB3_W_1
3,Captured 4,9.72,N/A,N/A,N/A,N/A,N/A,RIB3_L_2
4,Captured 4,5.63,N/A,N/A,N/A,N/A,N/A,RIB3_W_2
5,Captured 3,11.01,N/A,N/A,N/A,N/A,N/A,RIB3_L_3
6,Captured 3,6.68,N/A,N/A,N/A,N/A,N/A,RIB3_W_3
7,Captured 2,15.46,N/A,N/A,N/A,N/A,N/A,RIB3_L_4
8,Captured 2,9.35,N/A,N/A,N/A,N/A,N/A,RIB3_W_4
9,Captured 1,12.51,N/A,N/A,N/A,N/A,N/A,RIB3_L_5
10,Captured 1,7.75,N/A,N/A,N/A,N/A,N/A,RIB3_W_5
11,Captured,15.09,N/A,N/A,N/A,N/A,N/A,RIB3_L_6
12,Captured,8.25,N/A,N/A,N/A,N/A,N/A,RIB3_W_6
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],10.17,3.11,5.63,15.46,122.08,,,
