Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Frozen,7.82,N/A,N/A,N/A,N/A,N/A,CRP4_L_1
2,Frozen,5.24,N/A,N/A,N/A,N/A,N/A,CRP4_W_1
3,Frozen,6.47,N/A,N/A,N/A,N/A,N/A,CRP4_L_2
4,Frozen,4.31,N/A,N/A,N/A,N/A,N/A,CRP4_W_2
5,Frozen,7.79,N/A,N/A,N/A,N/A,N/A,CRP4_L_3
6,Frozen,5.38,N/A,N/A,N/A,N/A,N/A,CRP4_W_3
7,Frozen,7.47,N/A,N/A,N/A,N/A,N/A,CRP4_L_4
8,Frozen,5.01,N/A,N/A,N/A,N/A,N/A,CRP4_W_4
9,Frozen,9.75,N/A,N/A,N/A,N/A,N/A,CRP4_L_5
10,Frozen,7.01,N/A,N/A,N/A,N/A,N/A,CRP4_W_5
11,Frozen,6.98,N/A,N/A,N/A,N/A,N/A,CRP4_L_6
12,Frozen,4.64,N/A,N/A,N/A,N/A,N/A,CRP4_W_6
13,Frozen,8.87,N/A,N/A,N/A,N/A,N/A,CRP4_L_7
14,Frozen,6.09,N/A,N/A,N/A,N/A,N/A,CRP4_W_7
15,Frozen,10.49,N/A,N/A,N/A,N/A,N/A,CRP4_L_8
16,Frozen,7.02,N/A,N/A,N/A,N/A,N/A,CRP4_W_8
17,Frozen,13.87,N/A,N/A,N/A,N/A,N/A,CRP4_L_9
18,Frozen,8.77,N/A,N/A,N/A,N/A,N/A,CRP4_W_9
19,Frozen,10.12,N/A,N/A,N/A,N/A,N/A,CRP4_L_10
20,Frozen,5.89,N/A,N/A,N/A,N/A,N/A,CRP4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],7.45,2.3,4.31,13.87,148.99,,,
