Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 9,6.53,N/A,N/A,N/A,N/A,N/A,CRR6_L_1
2,Captured 9,3.74,N/A,N/A,N/A,N/A,N/A,CRR6_W_1
3,Captured 8,3.59,N/A,N/A,N/A,N/A,N/A,CRR6_L_2
4,Captured 8,2.08,N/A,N/A,N/A,N/A,N/A,CRR6_W_2
5,Captured 7,14.14,N/A,N/A,N/A,N/A,N/A,CRR6_L_3
6,Captured 7,8.24,N/A,N/A,N/A,N/A,N/A,CRR6_W_3
7,Captured 6,14.67,N/A,N/A,N/A,N/A,N/A,CRR6_L_4
8,Captured 6,9.29,N/A,N/A,N/A,N/A,N/A,CRR6_W_4
9,Captured 5,11.36,N/A,N/A,N/A,N/A,N/A,CRR6_L_5
10,Captured 5,7.29,N/A,N/A,N/A,N/A,N/A,CRR6_W_5
11,Captured 4,13.53,N/A,N/A,N/A,N/A,N/A,CRR6_L_6
12,Captured 4,7.98,N/A,N/A,N/A,N/A,N/A,CRR6_W_6
13,Captured 3,11.86,N/A,N/A,N/A,N/A,N/A,CRR6_L_7
14,Captured 3,6.58,N/A,N/A,N/A,N/A,N/A,CRR6_W_7
15,Captured 2,17.85,N/A,N/A,N/A,N/A,N/A,CRR6_L_8
16,Captured 2,10.61,N/A,N/A,N/A,N/A,N/A,CRR6_W_8
17,Captured 1,12.53,N/A,N/A,N/A,N/A,N/A,CRR6_L_9
18,Captured 1,7.2,N/A,N/A,N/A,N/A,N/A,CRR6_W_9
19,Captured,16.52,N/A,N/A,N/A,N/A,N/A,CRR6_L_10
20,Captured,9.24,N/A,N/A,N/A,N/A,N/A,CRR6_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],9.74,4.22,2.08,17.85,194.82,,,
