Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 9,7.51,N/A,N/A,N/A,N/A,N/A,BRB4_L_1
2,Captured 9,4.46,N/A,N/A,N/A,N/A,N/A,BRB4_W_1
3,Captured 8,9.72,N/A,N/A,N/A,N/A,N/A,BRB4_L_2
4,Captured 8,5.5,N/A,N/A,N/A,N/A,N/A,BRB4_W_2
5,Captured 7,7.47,N/A,N/A,N/A,N/A,N/A,BRB4_L_3
6,Captured 7,3.92,N/A,N/A,N/A,N/A,N/A,BRB4_W_3
7,Captured 6,10.76,N/A,N/A,N/A,N/A,N/A,BRB4_L_4
8,Captured 6,6.08,N/A,N/A,N/A,N/A,N/A,BRB4_W_4
9,Captured 5,14.06,N/A,N/A,N/A,N/A,N/A,BRB4_L_5
10,Captured 5,7.73,N/A,N/A,N/A,N/A,N/A,BRB4_W_5
11,Captured 4,10.07,N/A,N/A,N/A,N/A,N/A,BRB4_L_6
12,Captured 4,6.15,N/A,N/A,N/A,N/A,N/A,BRB4_W_6
13,Captured 3,13.75,N/A,N/A,N/A,N/A,N/A,BRB4_L_7
14,Captured 3,8.04,N/A,N/A,N/A,N/A,N/A,BRB4_W_7
15,Captured 2,13.94,N/A,N/A,N/A,N/A,N/A,BRB4_L_8
16,Captured 2,7.87,N/A,N/A,N/A,N/A,N/A,BRB4_W_8
17,Captured 1,16.74,N/A,N/A,N/A,N/A,N/A,BRB4_L_9
18,Captured 1,9.57,N/A,N/A,N/A,N/A,N/A,BRB4_W_9
19,Captured,18.38,N/A,N/A,N/A,N/A,N/A,BRB4_L_10
20,Captured,10.63,N/A,N/A,N/A,N/A,N/A,BRB4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],9.62,3.9,3.92,18.38,192.36,,,
