Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 9,4.55,N/A,N/A,N/A,N/A,N/A,BRP5_L_1
2,Captured 9,2.56,N/A,N/A,N/A,N/A,N/A,BRP5_W_1
3,Captured 8,5.17,N/A,N/A,N/A,N/A,N/A,BRP5_L_2
4,Captured 8,3.12,N/A,N/A,N/A,N/A,N/A,BRP5_W_2
5,Captured 7,4.52,N/A,N/A,N/A,N/A,N/A,BRP5_L_3
6,Captured 7,2.63,N/A,N/A,N/A,N/A,N/A,BRP5_W_3
7,Captured 6,9.66,N/A,N/A,N/A,N/A,N/A,BRP5_L_4
8,Captured 6,6.08,N/A,N/A,N/A,N/A,N/A,BRP5_W_4
9,Captured 5,10.35,N/A,N/A,N/A,N/A,N/A,BRP5_L_5
10,Captured 5,6.07,N/A,N/A,N/A,N/A,N/A,BRP5_W_5
11,Captured 4,8.93,N/A,N/A,N/A,N/A,N/A,BRP5_L_6
12,Captured 4,5.56,N/A,N/A,N/A,N/A,N/A,BRP5_W_6
13,Captured 3,7.98,N/A,N/A,N/A,N/A,N/A,BRP5_L_7
14,Captured 3,4.46,N/A,N/A,N/A,N/A,N/A,BRP5_W_7
15,Captured 2,11.4,N/A,N/A,N/A,N/A,N/A,BRP5_L_8
16,Captured 2,6.83,N/A,N/A,N/A,N/A,N/A,BRP5_W_8
17,Captured 1,12.77,N/A,N/A,N/A,N/A,N/A,BRP5_L_9
18,Captured 1,7.66,N/A,N/A,N/A,N/A,N/A,BRP5_W_9
19,Captured,10.72,N/A,N/A,N/A,N/A,N/A,BRP5_L_10
20,Captured,6.47,N/A,N/A,N/A,N/A,N/A,BRP5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],6.87,2.91,2.56,12.77,137.49,,,
