Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 9,7.51,N/A,N/A,N/A,N/A,N/A,BRR5_L_1
2,Captured 9,4.52,N/A,N/A,N/A,N/A,N/A,BRR5_W_1
3,Captured 8,4.5,N/A,N/A,N/A,N/A,N/A,BRR5_L_2
4,Captured 8,2.6,N/A,N/A,N/A,N/A,N/A,BRR5_W_2
5,Captured 7,6.94,N/A,N/A,N/A,N/A,N/A,BRR5_L_3
6,Captured 7,3.95,N/A,N/A,N/A,N/A,N/A,BRR5_W_3
7,Captured 6,10.76,N/A,N/A,N/A,N/A,N/A,BRR5_L_4
8,Captured 6,6.42,N/A,N/A,N/A,N/A,N/A,BRR5_W_4
9,Captured 5,9.82,N/A,N/A,N/A,N/A,N/A,BRR5_L_5
10,Captured 5,5.52,N/A,N/A,N/A,N/A,N/A,BRR5_W_5
11,Captured 4,10.71,N/A,N/A,N/A,N/A,N/A,BRR5_L_6
12,Captured 4,5.64,N/A,N/A,N/A,N/A,N/A,BRR5_W_6
13,Captured 3,7.95,N/A,N/A,N/A,N/A,N/A,BRR5_L_7
14,Captured 3,4.73,N/A,N/A,N/A,N/A,N/A,BRR5_W_7
15,Captured 2,10.84,N/A,N/A,N/A,N/A,N/A,BRR5_L_8
16,Captured 2,6.51,N/A,N/A,N/A,N/A,N/A,BRR5_W_8
17,Captured 1,14.8,N/A,N/A,N/A,N/A,N/A,BRR5_L_9
18,Captured 1,9.13,N/A,N/A,N/A,N/A,N/A,BRR5_W_9
19,Captured,12.59,N/A,N/A,N/A,N/A,N/A,BRR5_L_10
20,Captured,7.36,N/A,N/A,N/A,N/A,N/A,BRR5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],7.64,3.09,2.6,14.8,152.81,,,
