Site,Color,Number,Designation,5/31/2025,,,,,,,,,,,,,,,,,,,,,
RI,Red,1,RIR1,2,,,,,,,,,,,,,,,,,,,,,
RI,Red,2,RIR2,2,,,,,,,,,,,,,,,,,,,,,
RI,Red,3,RIR3,2,,,,,,,,,,,,,,,,,,,,,
RI,Red,4,RIR4,2,,,,,,,,,,,,,,,,,,,,,
RI,Blue,1,RIB1,2,,,,,,,,,,,,,,,,,,,,,
RI,Blue,2,RIB2,2,,,,,,,,,,,,,,,,,,,,,
RI,Blue,3,RIB3,2,,,,,,,,,,,,,,,,,,,,,
RI,Blue,4,RIB4,2,,,,,,,,,,,,,,,,,,,,,
RI,Green,1,RIG1,2,,,,,,,,,,,,,,,,,,,,,
RI,Green,2,RIG2,2,,,,,,,,,,,,,,,,,,,,,
RI,Green,3,RIG3,2,,,,,,,,,,,,,,,,,,,,,
RI,Green,4,RIG4,2,,,,,,,,,,,,,,,,,,,,,
RI,Pink,1,RIP1,2,,,,,,,,,,,,,,,,,,,,,
RI,Pink,2,RIP2,2,,,,,,,,,,,,,,,,,,,,,
RI,Pink,3,RIP3,2,,,,,,,,,,,,,,,,,,,,,
RI,Pink,4,RIP4,2,,,,,,,,,,,,,,,,,,,,,
BR,Red,1,BRR1,2,,,,,,,,,,,,,,,,,,,,,
BR,Red,2,BRR2,2,,,,,,,,,,,,,,,,,,,,,
BR,Red,3,BRR3,2,,,,,,,,,,,,,,,,,,,,,
BR,Red,4,BRR4,2,,,,,,,,,,,,,,,,,,,,,
BR,Blue,1,BRB1,2,,,,,,,,,,,,,,,,,,,,,
BR,Blue,2,BRB2,2,,,,,,,,,,,,,,,,,,,,,
BR,Blue,3,BRB3,2,,,,,,,,,,,,,,,,,,,,,
BR,Blue,4,BRB4,2,,,,,,,,,,,,,,,,,,,,,
BR,Green,1,BRG1,2,,,,,,,,,,,,,,,,,,,,,
BR,Green,2,BRG2,2,,,,,,,,,,,,,,,,,,,,,
BR,Green,3,BRG3,2,,,,,,,,,,,,,,,,,,,,,
BR,Green,4,BRG4,2,,,,,,,,,,,,,,,,,,,,,
BR,Pink,1,BRP1,2,,,,,,,,,,,,,,,,,,,,,
BR,Pink,2,BRP2,2,,,,,,,,,,,,,,,,,,,,,
BR,Pink,3,BRP3,2,,,,,,,,,,,,,,,,,,,,,
BR,Pink,4,BRP4,2,,,,,,,,,,,,,,,,,,,,,
CR,Red,1,CRR1,2,,,,,,,,,,,,,,,,,,,,,
CR,Red,2,CRR2,2,,,,,,,,,,,,,,,,,,,,,
CR,Red,3,CRR3,2,,,,,,,,,,,,,,,,,,,,,
CR,Red,4,CRR4,2,,,,,,,,,,,,,,,,,,,,,
CR,Blue,1,CRB1,2,,,,,,,,,,,,,,,,,,,,,
CR,Blue,2,CRB2,2,,,,,,,,,,,,,,,,,,,,,
CR,Blue,3,CRB3,2,,,,,,,,,,,,,,,,,,,,,
CR,Blue,4,CRB4,2,,,,,,,,,,,,,,,,,,,,,
CR,Green,1,CRG1,2,,,,,,,,,,,,,,,,,,,,,
CR,Green,2,CRG2,2,,,,,,,,,,,,,,,,,,,,,
CR,Green,3,CRG3,2,,,,,,,,,,,,,,,,,,,,,
CR,Green,4,CRG4,2,,,,,,,,,,,,,,,,,,,,,
CR,Pink,1,CRP1,2,,,,,,,,,,,,,,,,,,,,,
CR,Pink,2,CRP2,2,,,,,,,,,,,,,,,,,,,,,
CR,Pink,3,CRP3,2,,,,,,,,,,,,,,,,,,,,,
CR,Pink,4,CRP4,2,,,,,,,,,,,,,,,,,,,,,
SB,Red,1,SBR1,2,,,,,,,,,,,,,,,,,,,,,
SB,Red,2,SBR2,2,,,,,,,,,,,,,,,,,,,,,
SB,Red,3,SBR3,2,,,,,,,,,,,,,,,,,,,,,
SB,Red,4,SBR4,2,,,,,,,,,,,,,,,,,,,,,
SB,Blue,1,SBB1,2,,,,,,,,,,,,,,,,,,,,,
SB,Blue,2,SBB2,2,,,,,,,,,,,,,,,,,,,,,
SB,Blue,3,SBB3,2,,,,,,,,,,,,,,,,,,,,,
SB,Blue,4,SBB4,2,,,,,,,,,,,,,,,,,,,,,
SB,Green,1,SBG1,2,,,,,,,,,,,,,,,,,,,,,
SB,Green,2,SBG2,2,,,,,,,,,,,,,,,,,,,,,
SB,Green,3,SBG3,2,,,,,,,,,,,,,,,,,,,,,
SB,Green,4,SBG4,2,,,,,,,,,,,,,,,,,,,,,
SB,Pink,1,SBP1,2,,,,,,,,,,,,,,,,,,,,,
SB,Pink,2,SBP2,2,,,,,,,,,,,,,,,,,,,,,
SB,Pink,3,SBP3,2,,,,,,,,,,,,,,,,,,,,,
SB,Pink,4,SBP4,2,,,,,,,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
