sample_name,emergence_date,photo_number,snail_number,length,width
RIP2,20250801,2,1,3.5,2.31
RIP2,20250801,2,2,3.68,2.39
RIP2,20250801,2,3,3.61,2.31
RIP2,20250801,2,4,3.02,2.09
RIP2,20250801,2,5,3.34,2.12
RIP2,20250801,2,6,2.1,1.5
RIP2,20250801,2,7,3.43,2.07
RIP2,20250801,2,8,3.23,2
RIP2,20250801,2,9,3.75,2.43
RIP2,20250801,2,10,2.5,NA
RIP4,20250801,3,1,2.85,1.87
RIP4,20250801,3,2,2.89,1.82
RIP4,20250801,3,3,2.88,2
RIP4,20250801,3,4,3,2.05
RIP4,20250801,3,5,2.67,1.9
RIP4,20250801,3,6,2.68,1.82
RIP4,20250801,3,7,3.32,2.24
RIP4,20250801,3,8,2.82,1.82
RIP4,20250801,3,9,2.99,1.96
RIP4,20250801,3,10,3.43,2.29
RIR2,20250801,1,1,3.62,2.49
RIR2,20250801,1,2,3.35,2.45
RIR2,20250801,1,3,2.52,1.77
RIR2,20250801,1,4,3.05,2.18
RIR2,20250801,1,5,3.01,1.91
RIR2,20250801,1,6,2.56,1.93
RIR2,20250801,1,7,3.01,2.03
RIR2,20250801,1,8,3.4,2.38
RIR2,20250801,1,9,1.77,1.41
RIR2,20250801,1,10,3.36,2.25
RIR2,20250801,4,1,4.16,2.76
RIR2,20250801,4,2,3.45,2.38
RIR2,20250801,4,3,3.78,2.57
RIR2,20250801,4,4,3.55,2.46
RIR2,20250801,4,5,3.03,2.18
RIR2,20250801,4,6,3,2.05
RIR2,20250801,4,7,3.62,2.27
RIR2,20250801,4,8,3.94,2.76
RIR2,20250801,4,9,3.67,2.59
RIR2,20250801,4,10,3.06,2.09
BRP2,20250804,11,1,2.68,1.72
BRP2,20250804,11,2,2.29,1.44
BRP2,20250804,11,3,2.35,1.77
BRP2,20250804,11,4,3.28,2.03
BRP2,20250804,11,5,2.69,2
BRP2,20250804,11,6,3.01,1.95
BRP2,20250804,11,7,2.74,1.79
BRP2,20250804,11,8,2.54,1.78
BRP2,20250804,11,9,2.39,1.81
BRP2,20250804,11,10,2.92,1.9
BRP3,20250804,5,1,3.13,2.32
BRP3,20250804,5,2,3.38,2.14
BRP4,20250804,9,1,3.91,2.45
BRP4,20250804,9,2,3.38,2.36
BRP4,20250804,9,3,3.55,2.59
BRP4,20250804,9,4,3.74,2.51
BRP4,20250804,9,5,3.1,2.12
BRP4,20250804,9,6,2.82,2.07
BRP4,20250804,9,7,3.38,2.26
BRP4,20250804,9,8,3.55,2.49
BRP4,20250804,9,9,2.91,1.91
BRP4,20250804,9,10,3.62,2.44
BRR4,20250804,10,1,2.43,1.74
BRR4,20250804,10,2,2.99,2.25
BRR4,20250804,10,3,3.29,2.21
BRR4,20250804,10,4,2.62,1.71
BRR4,20250804,10,5,3.05,1.92
BRR4,20250804,10,6,2.84,1.72
BRR4,20250804,10,7,2.98,1.96
BRR4,20250804,10,8,2.75,1.74
BRR4,20250804,10,9,2.53,1.77
BRR4,20250804,10,10,2.64,1.83
RIG2,20250804,7,1,4.06,2.59
RIG2,20250804,7,2,4.06,2.66
RIG2,20250804,7,3,3.94,2.54
RIG2,20250804,7,4,4.24,2.74
RIG2,20250804,7,5,4.16,2.63
RIG2,20250804,7,6,4.37,2.77
RIG2,20250804,7,7,3.64,2.27
RIG2,20250804,7,8,3.79,2.56
RIG2,20250804,7,9,4.16,2.6
RIG2,20250804,7,10,3.78,2.71
RIP3,20250804,8,1,3.57,2.29
RIP3,20250804,8,2,2.33,1.74
RIP3,20250804,8,3,2.83,1.9
