Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,4.16,N/A,N/A,N/A,N/A,N/A,RIR2_L_1
2,Captured,2.76,N/A,N/A,N/A,N/A,N/A,RIR2_W_1
3,Captured,3.45,N/A,N/A,N/A,N/A,N/A,RIR2_L_2
4,Captured,2.38,N/A,N/A,N/A,N/A,N/A,RIR2_W_2
5,Captured,3.78,N/A,N/A,N/A,N/A,N/A,RIR2_L_3
6,Captured,2.57,N/A,N/A,N/A,N/A,N/A,RIR2_W_3
7,Captured,3.55,N/A,N/A,N/A,N/A,N/A,RIR2_L_4
8,Captured,2.46,N/A,N/A,N/A,N/A,N/A,RIR2_W_4
9,Captured,3.03,N/A,N/A,N/A,N/A,N/A,RIR2_L_5
10,Captured,2.18,N/A,N/A,N/A,N/A,N/A,RIR2_W_5
11,Captured,3,N/A,N/A,N/A,N/A,N/A,RIR2_L_6
12,Captured,2.05,N/A,N/A,N/A,N/A,N/A,RIR2_W_6
13,Captured,3.62,N/A,N/A,N/A,N/A,N/A,RIR2_L_7
14,Captured,2.27,N/A,N/A,N/A,N/A,N/A,RIR2_W_7
15,Captured,3.94,N/A,N/A,N/A,N/A,N/A,RIR2_L_8
16,Captured,2.76,N/A,N/A,N/A,N/A,N/A,RIR2_W_8
17,Captured,3.67,N/A,N/A,N/A,N/A,N/A,RIR2_L_9
18,Captured,2.59,N/A,N/A,N/A,N/A,N/A,RIR2_W_9
19,Captured,3.06,N/A,N/A,N/A,N/A,N/A,RIR2_L_10
20,Captured,2.09,N/A,N/A,N/A,N/A,N/A,RIR2_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.97,0.64,2.05,4.16,59.37,,,
