Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.57,N/A,N/A,N/A,N/A,N/A,RIP3_L_1
2,Captured,2.29,N/A,N/A,N/A,N/A,N/A,RIP3_W_1
3,Captured,2.33,N/A,N/A,N/A,N/A,N/A,RIP3_L_2
4,Captured,1.74,N/A,N/A,N/A,N/A,N/A,RIP3_W_2
5,Captured,2.83,N/A,N/A,N/A,N/A,N/A,RIP3_L_3
6,Captured,1.9,N/A,N/A,N/A,N/A,N/A,RIP3_W_3
7,Captured,2.89,N/A,N/A,N/A,N/A,N/A,RIP3_L_4
8,Captured,1.79,N/A,N/A,N/A,N/A,N/A,RIP3_W_4
9,Captured,3.03,N/A,N/A,N/A,N/A,N/A,RIP3_L_5
10,Captured,2.04,N/A,N/A,N/A,N/A,N/A,RIP3_W_5
11,Captured,3.44,N/A,N/A,N/A,N/A,N/A,RIP3_L_6
12,Captured,2.08,N/A,N/A,N/A,N/A,N/A,RIP3_W_6
13,Captured,2.93,N/A,N/A,N/A,N/A,N/A,RIP3_L_7
14,Captured,1.92,N/A,N/A,N/A,N/A,N/A,RIP3_W_7
15,Captured,2.87,N/A,N/A,N/A,N/A,N/A,RIP3_L_8
16,Captured,1.93,N/A,N/A,N/A,N/A,N/A,RIP3_W_8
17,Captured,2.85,N/A,N/A,N/A,N/A,N/A,RIP3_L_9
18,Captured,1.9,N/A,N/A,N/A,N/A,N/A,RIP3_W_9
19,Captured,3.06,N/A,N/A,N/A,N/A,N/A,RIP3_L_10
20,Captured,2.18,N/A,N/A,N/A,N/A,N/A,RIP3_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.48,0.56,1.74,3.57,49.58,,,
