Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 1,2.75,N/A,N/A,N/A,N/A,N/A,BRP1_L_1
2,Captured 1,1.85,N/A,N/A,N/A,N/A,N/A,BRP1_W_1
3,Captured 1,3.35,N/A,N/A,N/A,N/A,N/A,BRP1_L_2
4,Captured 1,2.25,N/A,N/A,N/A,N/A,N/A,BRP1_W_2
5,Captured 1,3.22,N/A,N/A,N/A,N/A,N/A,BRP1_L_3
6,Captured 1,2.14,N/A,N/A,N/A,N/A,N/A,BRP1_W_3
7,Captured 1,2.67,N/A,N/A,N/A,N/A,N/A,BRP1_L_4
8,Captured 1,1.92,N/A,N/A,N/A,N/A,N/A,BRP1_W_4
9,Captured 1,2.45,N/A,N/A,N/A,N/A,N/A,BRP1_L_5
10,Captured 1,1.56,N/A,N/A,N/A,N/A,N/A,BRP1_W_5
11,Captured 1,3.06,N/A,N/A,N/A,N/A,N/A,BRP1_L_6
12,Captured 1,1.95,N/A,N/A,N/A,N/A,N/A,BRP1_W_6
13,Captured 1,2.96,N/A,N/A,N/A,N/A,N/A,BRP1_L_7
14,Captured 1,1.99,N/A,N/A,N/A,N/A,N/A,BRP1_W_7
15,Captured 1,2.49,N/A,N/A,N/A,N/A,N/A,BRP1_L_8
16,Captured 1,1.65,N/A,N/A,N/A,N/A,N/A,BRP1_W_8
17,Captured 1,2.68,N/A,N/A,N/A,N/A,N/A,BRP1_L_9
18,Captured 1,1.82,N/A,N/A,N/A,N/A,N/A,BRP1_W_9
19,Captured 1,3.63,N/A,N/A,N/A,N/A,N/A,BRP1_L_10
20,Captured 1,2.45,N/A,N/A,N/A,N/A,N/A,BRP1_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.44,0.58,1.56,3.63,48.86,,,
