Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.1,N/A,N/A,N/A,N/A,N/A,CRP1_L_1
2,Captured,2.03,N/A,N/A,N/A,N/A,N/A,CRP1_W_1
3,Captured,3.09,N/A,N/A,N/A,N/A,N/A,CRP1_L_2
4,Captured,2.12,N/A,N/A,N/A,N/A,N/A,CRP1_W_2
5,Captured,2.78,N/A,N/A,N/A,N/A,N/A,CRP1_L_3
6,Captured,1.89,N/A,N/A,N/A,N/A,N/A,CRP1_W_3
7,Captured,3.32,N/A,N/A,N/A,N/A,N/A,CRP1_L_4
8,Captured,2.23,N/A,N/A,N/A,N/A,N/A,CRP1_W_4
9,Captured,3.34,N/A,N/A,N/A,N/A,N/A,CRP1_L_5
10,Captured,2.23,N/A,N/A,N/A,N/A,N/A,CRP1_W_5
11,Captured,2.6,N/A,N/A,N/A,N/A,N/A,CRP1_L_6
12,Captured,1.79,N/A,N/A,N/A,N/A,N/A,CRP1_W_6
13,Captured,3.26,N/A,N/A,N/A,N/A,N/A,CRP1_L_7
14,Captured,2.3,N/A,N/A,N/A,N/A,N/A,CRP1_W_7
15,Captured,2.67,N/A,N/A,N/A,N/A,N/A,CRP1_L_8
16,Captured,1.88,N/A,N/A,N/A,N/A,N/A,CRP1_W_8
17,Captured,2.72,N/A,N/A,N/A,N/A,N/A,CRP1_L_9
18,Captured,1.9,N/A,N/A,N/A,N/A,N/A,CRP1_W_9
19,Captured,2.97,N/A,N/A,N/A,N/A,N/A,CRP1_L_10
20,Captured,1.91,N/A,N/A,N/A,N/A,N/A,CRP1_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.51,0.53,1.79,3.34,50.13,,,
