Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.51,N/A,N/A,N/A,N/A,N/A,RIG4_L_1
2,Captured,2.64,N/A,N/A,N/A,N/A,N/A,RIG4_W_1
3,Captured,3.54,N/A,N/A,N/A,N/A,N/A,RIG4_L_2
4,Captured,2.4,N/A,N/A,N/A,N/A,N/A,RIG4_W_2
5,Captured,3.26,N/A,N/A,N/A,N/A,N/A,RIG4_L_3
6,Captured,2.28,N/A,N/A,N/A,N/A,N/A,RIG4_W_3
7,Captured,3.51,N/A,N/A,N/A,N/A,N/A,RIG4_L_4
8,Captured,2.29,N/A,N/A,N/A,N/A,N/A,RIG4_W_4
9,Captured,3.76,N/A,N/A,N/A,N/A,N/A,RIG4_L_5
10,Captured,2.53,N/A,N/A,N/A,N/A,N/A,RIG4_W_5
11,Captured,3.25,N/A,N/A,N/A,N/A,N/A,RIG4_L_6
12,Captured,2.06,N/A,N/A,N/A,N/A,N/A,RIG4_W_6
13,Captured,3.19,N/A,N/A,N/A,N/A,N/A,RIG4_L_7
14,Captured,2.27,N/A,N/A,N/A,N/A,N/A,RIG4_W_7
15,Captured,3.71,N/A,N/A,N/A,N/A,N/A,RIG4_L_8
16,Captured,2.36,N/A,N/A,N/A,N/A,N/A,RIG4_W_8
17,Captured,3.83,N/A,N/A,N/A,N/A,N/A,RIG4_L_9
18,Captured,2.61,N/A,N/A,N/A,N/A,N/A,RIG4_W_9
19,Captured,3.87,N/A,N/A,N/A,N/A,N/A,RIG4_L_10
20,Captured,2.31,N/A,N/A,N/A,N/A,N/A,RIG4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.96,0.62,2.06,3.87,59.18,,,
