Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.5,N/A,N/A,N/A,N/A,N/A,BRG4_L_1
2,Captured,2.26,N/A,N/A,N/A,N/A,N/A,BRG4_W_1
3,Captured,3.69,N/A,N/A,N/A,N/A,N/A,BRG4_L_2
4,Captured,2.34,N/A,N/A,N/A,N/A,N/A,BRG4_W_2
5,Captured,3.32,N/A,N/A,N/A,N/A,N/A,BRG4_L_3
6,Captured,2.17,N/A,N/A,N/A,N/A,N/A,BRG4_W_3
7,Captured,3.37,N/A,N/A,N/A,N/A,N/A,BRG4_L_4
8,Captured,2.31,N/A,N/A,N/A,N/A,N/A,BRG4_W_4
9,Captured,2.95,N/A,N/A,N/A,N/A,N/A,BRG4_L_5
10,Captured,1.82,N/A,N/A,N/A,N/A,N/A,BRG4_W_5
11,Captured,4.01,N/A,N/A,N/A,N/A,N/A,BRG4_L_6
12,Captured,2.67,N/A,N/A,N/A,N/A,N/A,BRG4_W_6
13,Captured 1,4.25,N/A,N/A,N/A,N/A,N/A,BRG4_L_7
14,Captured 1,2.99,N/A,N/A,N/A,N/A,N/A,BRG4_W_7
15,Captured 1,3.79,N/A,N/A,N/A,N/A,N/A,BRG4_L_8
16,Captured 1,2.33,N/A,N/A,N/A,N/A,N/A,BRG4_W_8
17,Captured 1,2.66,N/A,N/A,N/A,N/A,N/A,BRG4_L_9
18,Captured 1,1.66,N/A,N/A,N/A,N/A,N/A,BRG4_W_9
19,Captured 1,3.21,N/A,N/A,N/A,N/A,N/A,BRG4_L_10
20,Captured 1,2.08,N/A,N/A,N/A,N/A,N/A,BRG4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.87,0.73,1.66,4.25,57.38,,,
