Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.09,N/A,N/A,N/A,N/A,N/A,BRB4_L_1
2,Captured,1.95,N/A,N/A,N/A,N/A,N/A,BRB4_W_1
3,Captured,2.75,N/A,N/A,N/A,N/A,N/A,BRB4_L_2
4,Captured,1.96,N/A,N/A,N/A,N/A,N/A,BRB4_W_2
5,Captured,3.28,N/A,N/A,N/A,N/A,N/A,BRB4_L_3
6,Captured,1.98,N/A,N/A,N/A,N/A,N/A,BRB4_W_3
7,Captured,3.62,N/A,N/A,N/A,N/A,N/A,BRB4_L_4
8,Captured,2.5,N/A,N/A,N/A,N/A,N/A,BRB4_W_4
9,Captured,3.44,N/A,N/A,N/A,N/A,N/A,BRB4_L_5
10,Captured,2.04,N/A,N/A,N/A,N/A,N/A,BRB4_W_5
11,Captured,2.63,N/A,N/A,N/A,N/A,N/A,BRB4_L_6
12,Captured,1.64,N/A,N/A,N/A,N/A,N/A,BRB4_W_6
13,Captured,2.3,N/A,N/A,N/A,N/A,N/A,BRB4_L_7
14,Captured,1.47,N/A,N/A,N/A,N/A,N/A,BRB4_W_7
15,Captured,3.65,N/A,N/A,N/A,N/A,N/A,BRB4_L_8
16,Captured,2.44,N/A,N/A,N/A,N/A,N/A,BRB4_W_8
17,Captured,1.83,N/A,N/A,N/A,N/A,N/A,BRB4_L_9
18,Captured,1.33,N/A,N/A,N/A,N/A,N/A,BRB4_W_9
19,Captured,2.91,N/A,N/A,N/A,N/A,N/A,BRB4_L_10
20,Captured,1.88,N/A,N/A,N/A,N/A,N/A,BRB4_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.43,0.7,1.33,3.65,48.68,,,
