Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,2.33,N/A,N/A,N/A,N/A,N/A,BRR6_L_1
2,Captured,1.53,N/A,N/A,N/A,N/A,N/A,BRR6_W_1
3,Captured,2.78,N/A,N/A,N/A,N/A,N/A,BRR6_L_2
4,Captured,1.81,N/A,N/A,N/A,N/A,N/A,BRR6_W_2
5,Captured,2.76,N/A,N/A,N/A,N/A,N/A,BRR6_L_3
6,Captured,1.77,N/A,N/A,N/A,N/A,N/A,BRR6_W_3
7,Captured,2.35,N/A,N/A,N/A,N/A,N/A,BRR6_L_4
8,Captured,1.56,N/A,N/A,N/A,N/A,N/A,BRR6_W_4
9,Captured,3,N/A,N/A,N/A,N/A,N/A,BRR6_L_5
10,Captured,1.9,N/A,N/A,N/A,N/A,N/A,BRR6_W_5
11,Captured,3.02,N/A,N/A,N/A,N/A,N/A,BRR6_L_6
12,Captured,2.08,N/A,N/A,N/A,N/A,N/A,BRR6_W_6
13,Captured,2.38,N/A,N/A,N/A,N/A,N/A,BRR6_L_7
14,Captured,1.56,N/A,N/A,N/A,N/A,N/A,BRR6_W_7
15,Captured,2.62,N/A,N/A,N/A,N/A,N/A,BRR6_L_8
16,Captured,1.61,N/A,N/A,N/A,N/A,N/A,BRR6_W_8
17,Captured,2.47,N/A,N/A,N/A,N/A,N/A,BRR6_L_9
18,Captured,1.76,N/A,N/A,N/A,N/A,N/A,BRR6_W_9
19,Captured,2.77,N/A,N/A,N/A,N/A,N/A,BRR6_L_10
20,Captured,1.89,N/A,N/A,N/A,N/A,N/A,BRR6_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],2.2,0.5,1.53,3.02,43.97,,,
