Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,3.7,N/A,N/A,N/A,N/A,N/A,CRG3_L_1
2,Captured,2.57,N/A,N/A,N/A,N/A,N/A,CRG3_W_1
3,Captured,2.91,N/A,N/A,N/A,N/A,N/A,CRG3_L_2
4,Captured,1.96,N/A,N/A,N/A,N/A,N/A,CRG3_W_2
5,Captured,3.65,N/A,N/A,N/A,N/A,N/A,CRG3_L_3
6,Captured,2.56,N/A,N/A,N/A,N/A,N/A,CRG3_W_3
7,Captured,3.99,N/A,N/A,N/A,N/A,N/A,CRG3_L_4
8,Captured,2.48,N/A,N/A,N/A,N/A,N/A,CRG3_W_4
9,Captured,3.58,N/A,N/A,N/A,N/A,N/A,CRG3_L_5
10,Captured,2.32,N/A,N/A,N/A,N/A,N/A,CRG3_W_5
11,Captured,3.97,N/A,N/A,N/A,N/A,N/A,CRG3_L_6
12,Captured,2.47,N/A,N/A,N/A,N/A,N/A,CRG3_W_6
13,Captured,3.64,N/A,N/A,N/A,N/A,N/A,CRG3_L_7
14,Captured,2.59,N/A,N/A,N/A,N/A,N/A,CRG3_W_7
15,Captured,4.1,N/A,N/A,N/A,N/A,N/A,CRG3_L_8
16,Captured,2.68,N/A,N/A,N/A,N/A,N/A,CRG3_W_8
17,Captured,3.38,N/A,N/A,N/A,N/A,N/A,CRG3_L_9
18,Captured,2.42,N/A,N/A,N/A,N/A,N/A,CRG3_W_9
19,Captured,3.68,N/A,N/A,N/A,N/A,N/A,CRG3_L_10
20,Captured,2.65,N/A,N/A,N/A,N/A,N/A,CRG3_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],3.07,0.65,1.96,4.1,61.3,,,
