Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 1,3.48,N/A,N/A,N/A,N/A,N/A,CRR1_L_1
2,Captured 1,2.48,N/A,N/A,N/A,N/A,N/A,CRR1_W_1
3,Captured 1,4.14,N/A,N/A,N/A,N/A,N/A,CRR1_L_2
4,Captured 1,2.71,N/A,N/A,N/A,N/A,N/A,CRR1_W_2
5,Captured 1,4.37,N/A,N/A,N/A,N/A,N/A,CRR1_L_3
6,Captured 1,2.8,N/A,N/A,N/A,N/A,N/A,CRR1_W_3
7,Captured 1,3.5,N/A,N/A,N/A,N/A,N/A,CRR1_L_4
8,Captured 1,2.39,N/A,N/A,N/A,N/A,N/A,CRR1_W_4
9,Captured 1,2.59,N/A,N/A,N/A,N/A,N/A,CRR1_L_5
10,Captured 1,1.77,N/A,N/A,N/A,N/A,N/A,CRR1_W_5
11,Captured 1,4.22,N/A,N/A,N/A,N/A,N/A,CRR1_L_6
12,Captured 1,2.91,N/A,N/A,N/A,N/A,N/A,CRR1_W_6
13,Captured 1,3.05,N/A,N/A,N/A,N/A,N/A,CRR1_L_7
14,Captured 1,1.9,N/A,N/A,N/A,N/A,N/A,CRR1_W_7
15,Captured 1,4.26,N/A,N/A,N/A,N/A,N/A,CRR1_L_8
16,Captured 1,2.7,N/A,N/A,N/A,N/A,N/A,CRR1_W_8
17,Captured 1,3.21,N/A,N/A,N/A,N/A,N/A,CRR1_L_9
18,Captured 1,2.31,N/A,N/A,N/A,N/A,N/A,CRR1_W_9
19,Captured 1,3.33,N/A,N/A,N/A,N/A,N/A,CRR1_L_10
20,Captured 1,2.26,N/A,N/A,N/A,N/A,N/A,CRR1_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],3.02,0.76,1.77,4.37,60.37,,,
