sample_name,emergence_date,site,color,batch,predation,temperature,photo_number,snail_number,length,width
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,1,3.5,2.31
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,2,3.68,2.39
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,3,3.61,2.31
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,4,3.02,2.09
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,5,3.34,2.12
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,6,2.1,1.5
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,7,3.43,2.07
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,8,3.23,2
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,9,3.75,2.43
RIP2,20250801,Ram Island,Pink,2,No crab,Heated,2,10,2.5,NA
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,1,2.85,1.87
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,2,2.89,1.82
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,3,2.88,2
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,4,3,2.05
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,5,2.67,1.9
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,6,2.68,1.82
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,7,3.32,2.24
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,8,2.82,1.82
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,9,2.99,1.96
RIP4,20250801,Ram Island,Pink,4,No crab,Heated,3,10,3.43,2.29
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,1,3.62,2.49
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,2,3.35,2.45
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,3,2.52,1.77
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,4,3.05,2.18
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,5,3.01,1.91
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,6,2.56,1.93
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,7,3.01,2.03
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,8,3.4,2.38
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,9,1.77,1.41
RIR2,20250801,Ram Island,Red,2,Crab,Heated,1,10,3.36,2.25
RIR2,20250801,Ram Island,Red,2,Crab,Heated,4,1,4.16,2.76
