sample_name,emergence_date,site,color,batch,predation,temperature,photo_number,snail_number,length,width
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,1,1.03,0.7
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,1,1.1,0.9
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,2,0.87,0.67
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,2,0.79,0.75
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,3,0.86,0.65
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,3,0.99,0.95
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,4,0.68,0.47
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,4,0.96,0.83
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,5,0.85,0.64
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,5,0.85,0.76
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,6,0.94,0.57
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,6,1.03,0.98
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,7,0.92,0.74
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,7,0.81,0.73
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,8,0.94,0.64
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,8,0.74,0.66
RIR5,20250709,Ram Island,Red,5,Crab,Heated,21,9,0.92,0.75
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,9,0.81,0.6
