sample_name,emergence_date,site,color,batch,predation,temperature,photo_number,snail_number,length,width
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,1,1.23,0.81
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,2,1.1,0.88
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,3,1.1,0.98
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,4,1.17,0.81
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,5,1.21,0.8
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,6,1.02,0.79
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,7,0.85,0.67
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,8,1.21,0.93
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,9,1.09,0.85
RIP2,20250630,Ram Island,Pink,2,No crab,Heated,1,10,1.01,0.84
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,1,1.27,0.99
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,2,1.31,0.95
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,3,1.3,0.97
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,4,1.21,0.9
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,5,1.01,0.78
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,6,1.41,1.01
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,7,1.04,0.82
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,8,1.3,0.97
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,9,1.18,1.08
RIR2,20250630,Ram Island,Red,2,Crab,Heated,3,10,0.86,0.64
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,1,1.43,1.01
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,2,1.42,0.96
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,3,1.42,1.1
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,4,0.93,0.71
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,5,1.08,0.73
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,6,1.1,0.87
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,7,1.33,1.01
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,8,1.41,1.06
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,9,1.45,1
RIR4,20250702,Ram Island,Red,4,Crab,Heated,4,10,1.14,1.02
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,1,1,0.64
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,2,1,0.73
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,3,0.99,0.7
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,4,1.12,0.82
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,5,0.97,0.71
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,6,1.08,0.73
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,7,0.97,0.7
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,8,0.88,0.75
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,9,1.1,0.81
BRP2,20250704,Bass Rock,Pink,2,No crab,Heated,12,10,1.06,0.76
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,1,1.31,0.81
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,2,1,0.79
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,3,1.26,0.7
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,4,1.34,0.89
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,5,1.07,0.67
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,6,1.07,0.81
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,7,1.22,0.86
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,8,1.23,0.84
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,9,1.17,0.75
BRP3,20250704,Bass Rock,Pink,3,No crab,Heated,9,10,1.31,0.84
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,1,1.23,0.84
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,2,1.2,0.96
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,3,1.04,0.75
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,4,1.3,1.03
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,5,1.16,0.66
