Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,0.83,N/A,N/A,N/A,N/A,N/A,RIP5_L_1
2,Captured,0.54,N/A,N/A,N/A,N/A,N/A,RIP5_W_1
3,Captured,0.81,N/A,N/A,N/A,N/A,N/A,RIP5_L_2
4,Captured,0.53,N/A,N/A,N/A,N/A,N/A,RIP5_W_2
5,Captured,0.89,N/A,N/A,N/A,N/A,N/A,RIP5_L_3
6,Captured,0.53,N/A,N/A,N/A,N/A,N/A,RIP5_W_3
7,Captured,0.86,N/A,N/A,N/A,N/A,N/A,RIP5_L_4
8,Captured,0.68,N/A,N/A,N/A,N/A,N/A,RIP5_W_4
9,Captured,0.86,N/A,N/A,N/A,N/A,N/A,RIP5_L_5
10,Captured,0.54,N/A,N/A,N/A,N/A,N/A,RIP5_W_5
11,Captured,0.87,N/A,N/A,N/A,N/A,N/A,RIP5_L_6
12,Captured,0.66,N/A,N/A,N/A,N/A,N/A,RIP5_W_6
13,Captured,0.9,N/A,N/A,N/A,N/A,N/A,RIP5_L_7
14,Captured,0.6,N/A,N/A,N/A,N/A,N/A,RIP5_W_7
15,Captured,0.94,N/A,N/A,N/A,N/A,N/A,RIP5_L_8
16,Captured,0.63,N/A,N/A,N/A,N/A,N/A,RIP5_W_8
17,Captured,0.85,N/A,N/A,N/A,N/A,N/A,RIP5_L_9
18,Captured,0.52,N/A,N/A,N/A,N/A,N/A,RIP5_W_9
19,Captured,0.86,N/A,N/A,N/A,N/A,N/A,RIP5_L_10
20,Captured,0.65,N/A,N/A,N/A,N/A,N/A,RIP5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],0.73,0.15,0.52,0.94,14.54,,,
