Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured 1,1.12,N/A,N/A,N/A,N/A,N/A,BRP6_L_1
2,Captured 1,0.9,N/A,N/A,N/A,N/A,N/A,BRP6_W_1
3,Captured 1,1.26,N/A,N/A,N/A,N/A,N/A,BRP6_L_2
4,Captured 1,0.93,N/A,N/A,N/A,N/A,N/A,BRP6_W_2
5,Captured 1,1.15,N/A,N/A,N/A,N/A,N/A,BRP6_L_3
6,Captured 1,0.92,N/A,N/A,N/A,N/A,N/A,BRP6_W_3
7,Captured 1,1.25,N/A,N/A,N/A,N/A,N/A,BRP6_L_4
8,Captured 1,0.91,N/A,N/A,N/A,N/A,N/A,BRP6_W_4
9,Captured 1,1.15,N/A,N/A,N/A,N/A,N/A,BRP6_L_5
10,Captured 1,0.93,N/A,N/A,N/A,N/A,N/A,BRP6_W_5
11,Captured 1,1.21,N/A,N/A,N/A,N/A,N/A,BRP6_L_6
12,Captured 1,0.98,N/A,N/A,N/A,N/A,N/A,BRP6_W_6
13,Captured 1,1.09,N/A,N/A,N/A,N/A,N/A,BRP6_L_7
14,Captured 1,1.02,N/A,N/A,N/A,N/A,N/A,BRP6_W_7
15,Captured 1,1.14,N/A,N/A,N/A,N/A,N/A,BRP6_L_8
16,Captured 1,0.98,N/A,N/A,N/A,N/A,N/A,BRP6_W_8
17,Captured 1,1.15,N/A,N/A,N/A,N/A,N/A,BRP6_L_9
18,Captured 1,0.88,N/A,N/A,N/A,N/A,N/A,BRP6_W_9
19,Captured 1,1.06,N/A,N/A,N/A,N/A,N/A,BRP6_L_10
20,Captured 1,0.78,N/A,N/A,N/A,N/A,N/A,
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.04,0.13,0.78,1.26,20.82,,,
