Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,0.97,N/A,N/A,N/A,N/A,N/A,BRB1_L_1
2,Captured,0.88,N/A,N/A,N/A,N/A,N/A,BRB1_W_1
3,Captured,0.96,N/A,N/A,N/A,N/A,N/A,BRB1_L_2
4,Captured,0.82,N/A,N/A,N/A,N/A,N/A,BRB1_W_2
5,Captured,1.05,N/A,N/A,N/A,N/A,N/A,BRB1_L_3
6,Captured,0.93,N/A,N/A,N/A,N/A,N/A,BRB1_W_3
7,Captured,0.95,N/A,N/A,N/A,N/A,N/A,BRB1_L_4
8,Captured,0.86,N/A,N/A,N/A,N/A,N/A,BRB1_W_4
9,Captured,1.01,N/A,N/A,N/A,N/A,N/A,BRB1_L_5
10,Captured,0.89,N/A,N/A,N/A,N/A,N/A,BRB1_W_5
11,Captured,1.06,N/A,N/A,N/A,N/A,N/A,BRB1_L_6
12,Captured,0.88,N/A,N/A,N/A,N/A,N/A,BRB1_W_6
13,Captured,1,N/A,N/A,N/A,N/A,N/A,BRB1_L_7
14,Captured,0.86,N/A,N/A,N/A,N/A,N/A,BRB1_W_7
15,Captured,1.02,N/A,N/A,N/A,N/A,N/A,BRB1_L_8
16,Captured,0.9,N/A,N/A,N/A,N/A,N/A,BBB1_W_8
17,Captured,0.94,N/A,N/A,N/A,N/A,N/A,BRB1_L_9
18,Captured,0.84,N/A,N/A,N/A,N/A,N/A,BRB1_W_9
19,Captured,1.04,N/A,N/A,N/A,N/A,N/A,BRB1_L_10
20,Captured,0.95,N/A,N/A,N/A,N/A,N/A,BRB1_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],0.94,0.07,0.82,1.06,18.82,,,
