Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.1,N/A,N/A,N/A,N/A,N/A,BRR6_L_1
2,Captured,0.84,N/A,N/A,N/A,N/A,N/A,BRR6_W_1
3,Captured,1.09,N/A,N/A,N/A,N/A,N/A,BRR6_L_2
4,Captured,0.79,N/A,N/A,N/A,N/A,N/A,BRR6_W_2
5,Captured,1.22,N/A,N/A,N/A,N/A,N/A,BRR6_L_3
6,Captured,0.89,N/A,N/A,N/A,N/A,N/A,BRR6_W_3
7,Captured,1.13,N/A,N/A,N/A,N/A,N/A,BRR6_L_4
8,Captured,0.84,N/A,N/A,N/A,N/A,N/A,BRR6_W_4
9,Captured,0.96,N/A,N/A,N/A,N/A,N/A,BRR6_L_5
10,Captured,0.8,N/A,N/A,N/A,N/A,N/A,BRR6_W_5
11,Captured,1.13,N/A,N/A,N/A,N/A,N/A,BRR6_L_6
12,Captured,0.9,N/A,N/A,N/A,N/A,N/A,BRR6_W_6
13,Captured,1.05,N/A,N/A,N/A,N/A,N/A,BRR6_L_7
14,Captured,0.85,N/A,N/A,N/A,N/A,N/A,BRR6_W_7
15,Captured,1.09,N/A,N/A,N/A,N/A,N/A,BRR6_L_8
16,Captured,0.86,N/A,N/A,N/A,N/A,N/A,BRR6_W_8
17,Captured,1.02,N/A,N/A,N/A,N/A,N/A,BRR6_L_9
18,Captured,0.81,N/A,N/A,N/A,N/A,N/A,BRR6_W_9
19,Captured,1.12,N/A,N/A,N/A,N/A,N/A,BRR6_L_10
20,Captured,0.86,N/A,N/A,N/A,N/A,N/A,BRR6_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],0.97,0.13,0.79,1.22,19.35,,,
