Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,0.89,N/A,N/A,N/A,N/A,N/A,RIP6_L_1
2,Captured,0.8,N/A,N/A,N/A,N/A,N/A,RIP6_W_1
3,Captured,1.07,N/A,N/A,N/A,N/A,N/A,RIP6_L_2
4,Captured,0.93,N/A,N/A,N/A,N/A,N/A,RIP6_W_2
5,Captured,1.06,N/A,N/A,N/A,N/A,N/A,RIP6_L_3
6,Captured,0.91,N/A,N/A,N/A,N/A,N/A,RIP6_W_3
7,Captured,1.03,N/A,N/A,N/A,N/A,N/A,RIP6_L_4
8,Captured,0.88,N/A,N/A,N/A,N/A,N/A,RIP6_W_4
9,Captured,1.06,N/A,N/A,N/A,N/A,N/A,RIP6_L_5
10,Captured,0.8,N/A,N/A,N/A,N/A,N/A,RIP6_W_5
11,Captured,1.09,N/A,N/A,N/A,N/A,N/A,RIP6_L_6
12,Captured,0.85,N/A,N/A,N/A,N/A,N/A,RIP6_W_6
13,Captured,1.04,N/A,N/A,N/A,N/A,N/A,RIP6_L_7
14,Captured,0.84,N/A,N/A,N/A,N/A,N/A,RIP6_W_7
15,Captured,0.95,N/A,N/A,N/A,N/A,N/A,RIP6_L_8
16,Captured,0.86,N/A,N/A,N/A,N/A,N/A,RIP6_W_8
17,Captured,0.87,N/A,N/A,N/A,N/A,N/A,RIP6_L_9
18,Captured,0.76,N/A,N/A,N/A,N/A,N/A,RIP6_W_9
19,Captured,0.8,N/A,N/A,N/A,N/A,N/A,RIP6_L_10
20,Captured,0.73,N/A,N/A,N/A,N/A,N/A,RIP6_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],0.91,0.11,0.73,1.09,18.22,,,
