Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.34,N/A,N/A,N/A,N/A,N/A,CRB5_L_1
2,Captured,1.01,N/A,N/A,N/A,N/A,N/A,CRB5_W_1
3,Captured,1.25,N/A,N/A,N/A,N/A,N/A,CRB5_L_2
4,Captured,1.05,N/A,N/A,N/A,N/A,N/A,CRB5_W_2
5,Captured,1.41,N/A,N/A,N/A,N/A,N/A,CRB5_L_3
6,Captured,1.15,N/A,N/A,N/A,N/A,N/A,CRB5_W_3
7,Captured,1.4,N/A,N/A,N/A,N/A,N/A,CRB5_L_4
8,Captured,0.99,N/A,N/A,N/A,N/A,N/A,CRB5_W_4
9,Captured,1.4,N/A,N/A,N/A,N/A,N/A,CRB5_L_5
10,Captured,1.12,N/A,N/A,N/A,N/A,N/A,CRB5_W_5
11,Captured,1.41,N/A,N/A,N/A,N/A,N/A,CRB5_L_6
12,Captured,1.03,N/A,N/A,N/A,N/A,N/A,CRB5_W_6
13,Captured,1.45,N/A,N/A,N/A,N/A,N/A,CRB5_L_7
14,Captured,1.13,N/A,N/A,N/A,N/A,N/A,CRB5_W_7
15,Captured,1.35,N/A,N/A,N/A,N/A,N/A,CRB5_L_8
16,Captured,1.08,N/A,N/A,N/A,N/A,N/A,CRB5_W_8
17,Captured,1.39,N/A,N/A,N/A,N/A,N/A,CRB5_L_9
18,Captured,1.13,N/A,N/A,N/A,N/A,N/A,CRB5_W_9
19,Captured,1.37,N/A,N/A,N/A,N/A,N/A,CRB5_L_10
20,Captured,1.18,N/A,N/A,N/A,N/A,N/A,CRB5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.23,0.16,0.99,1.45,24.64,,,
