Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,0.91,N/A,N/A,N/A,N/A,N/A,CRG1_L_1
2,Captured,0.82,N/A,N/A,N/A,N/A,N/A,CRG1_W_1
3,Captured,1.18,N/A,N/A,N/A,N/A,N/A,CRG1_L_2
4,Captured,1.04,N/A,N/A,N/A,N/A,N/A,CRG1_W_2
5,Captured,0.99,N/A,N/A,N/A,N/A,N/A,CRG1_L_3
6,Captured,0.79,N/A,N/A,N/A,N/A,N/A,CRG1_W_3
7,Captured,1.14,N/A,N/A,N/A,N/A,N/A,CRG1_L_4
8,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRG1_W_4
9,Captured,1.14,N/A,N/A,N/A,N/A,N/A,CRG1_L_5
10,Captured,1,N/A,N/A,N/A,N/A,N/A,CRG1_W_5
11,Captured,1.19,N/A,N/A,N/A,N/A,N/A,CRG1_L_6
12,Captured,1.08,N/A,N/A,N/A,N/A,N/A,CRG1_W_6
13,Captured,0.88,N/A,N/A,N/A,N/A,N/A,CRG1_L_7
14,Captured,0.8,N/A,N/A,N/A,N/A,N/A,CRG1_W_7
15,Captured,1.11,N/A,N/A,N/A,N/A,N/A,CRG1_L_8
16,Captured,0.94,N/A,N/A,N/A,N/A,N/A,CRG1_W_8
17,Captured,1.1,N/A,N/A,N/A,N/A,N/A,CRG1_L_9
18,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRG1_W_9
19,Captured,1.04,N/A,N/A,N/A,N/A,N/A,CRG1_L_10
20,Captured,0.92,N/A,N/A,N/A,N/A,N/A,CRG1_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1,0.12,0.79,1.19,20,,,
