Item,Source,Length [mm],ND.T,ND.Z,ND.M,Time [s],Velocity [mm/s],Comment
1,Captured,1.4,N/A,N/A,N/A,N/A,N/A,CRR5_L_1
2,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRR5_W_1
3,Captured,1.43,N/A,N/A,N/A,N/A,N/A,CRR5_L_2
4,Captured,1.13,N/A,N/A,N/A,N/A,N/A,CRR5_W_2
5,Captured,1.5,N/A,N/A,N/A,N/A,N/A,CRR5_L_3
6,Captured,1.21,N/A,N/A,N/A,N/A,N/A,CRR5_W_3
7,Captured,1.08,N/A,N/A,N/A,N/A,N/A,CRR5_L_4
8,Captured,0.82,N/A,N/A,N/A,N/A,N/A,CRR5_W_4
9,Captured,1.34,N/A,N/A,N/A,N/A,N/A,CRR5_L_5
10,Captured,0.99,N/A,N/A,N/A,N/A,N/A,CRR5_W_5
11,Captured,1.24,N/A,N/A,N/A,N/A,N/A,CRR5_L_6
12,Captured,0.96,N/A,N/A,N/A,N/A,N/A,CRR5_W_6
13,Captured,1.48,N/A,N/A,N/A,N/A,N/A,CRR5_L_7
14,Captured,1.02,N/A,N/A,N/A,N/A,N/A,CRR5_W_7
15,Captured,1.4,N/A,N/A,N/A,N/A,N/A,CRR5_L_8
16,Captured,1.08,N/A,N/A,N/A,N/A,N/A,CRR5_W_8
17,Captured,1.51,N/A,N/A,N/A,N/A,N/A,CRR5_L_9
18,Captured,1.11,N/A,N/A,N/A,N/A,N/A,CRR5_W_9
19,Captured,1.46,N/A,N/A,N/A,N/A,N/A,CRR5_L_10
20,Captured,1.1,N/A,N/A,N/A,N/A,N/A,CRR5_W_10
Feature,Mean,St.Dev,Minimum,Maximum,Sum,,,
Length [mm],1.21,0.21,0.82,1.51,24.23,,,
