sample_name,color,measurement_date,site,batch,predation,temperature,avg_ratio
BRB1,Blue,20251103,Bass Rock,1,Crab,Ambient,1.6292842056471109
BRB2,Blue,20251113,Bass Rock,2,Crab,Ambient,1.6210042707870238
BRB4,Blue,20251124,Bass Rock,4,Crab,Ambient,1.7542531475981296
BRB5,Blue,20251124,Bass Rock,5,Crab,Ambient,1.7151954272235488
BRB6,Blue,20251103,Bass Rock,6,Crab,Ambient,1.6322962432169246
BRG1,Green,20251124,Bass Rock,1,No crab,Ambient,1.7619354066077104
BRG2,Green,20251110,Bass Rock,2,No crab,Ambient,1.6344706552788153
BRG3,Green,20251110,Bass Rock,3,No crab,Ambient,1.6339012086042592
BRG4,Green,20251103,Bass Rock,4,No crab,Ambient,1.6270328676535508
BRG5,Green,20251124,Bass Rock,5,No crab,Ambient,1.713576399530068
BRG6,Green,20251110,Bass Rock,6,No crab,Ambient,1.6720292767354286
BRP1,Pink,20251112,Bass Rock,1,No crab,Heated,1.692694882939754
BRP2,Pink,20251112,Bass Rock,2,No crab,Heated,1.6159068025227645
BRP3,Pink,20251111,Bass Rock,3,No crab,Heated,1.5154068142382755
BRP4,Pink,20251112,Bass Rock,4,No crab,Heated,1.6428654736159864
BRP5,Pink,20251124,Bass Rock,5,No crab,Heated,1.6835388467399595
BRP6,Pink,20251112,Bass Rock,6,No crab,Heated,1.6868438203518097
BRR2,Red,20251112,Bass Rock,2,Crab,Heated,1.638173930340199
BRR3,Red,20251110,Bass Rock,3,Crab,Heated,1.6422901023192458
BRR3,Red,20251112,Bass Rock,3,Crab,Heated,1.6186598581749725
BRR4,Red,20251112,Bass Rock,4,Crab,Heated,1.6234630707761115
BRR5,Red,20251124,Bass Rock,5,Crab,Heated,1.7180688886028663
BRR6,Red,20251124,Bass Rock,6,Crab,Heated,1.7412066440915666
CRB1,Blue,20251110,Castle Rock,1,Crab,Ambient,1.704854471120475
CRB2,Blue,20251110,Castle Rock,2,Crab,Ambient,1.691448569877013
CRB3,Blue,20251112,Castle Rock,3,Crab,Ambient,1.7061783050119559
CRB4,Blue,20251115,Castle Rock,4,Crab,Ambient,1.5933911844261608
CRB5,Blue,20251110,Castle Rock,5,Crab,Ambient,1.6959060814829476
CRB6,Blue,20251124,Castle Rock,6,Crab,Ambient,1.601753818736803
CRG1,Green,20251124,Castle Rock,1,No crab,Ambient,1.6843416755590965
CRG2,Green,20251103,Castle Rock,2,No crab,Ambient,1.6472902850508264
CRG3,Green,20251103,Castle Rock,3,No crab,Ambient,1.641529869788872
CRG4,Green,20251124,Castle Rock,4,No crab,Ambient,1.749943150331994
CRG5,Green,20251115,Castle Rock,5,No crab,Ambient,1.6184816900012713
CRG6,Green,20251103,Castle Rock,6,No crab,Ambient,1.6123281488563284
CRP1,Pink,20251112,Castle Rock,1,No crab,Heated,1.6438685499454428
CRP2,Pink,20251113,Castle Rock,2,No crab,Heated,1.5712824440636812
CRP3,Pink,20251113,Castle Rock,3,No crab,Heated,1.5875473538071991
CRP4,Pink,20251113,Castle Rock,4,No crab,Heated,1.5078162746546613
CRP6,Pink,20251115,Castle Rock,6,No crab,Heated,1.6002181373074988
CRR1,Red,20251124,Castle Rock,1,Crab,Heated,1.62894687129822
CRR2,Red,20251124,Castle Rock,2,Crab,Heated,1.6788285170940933
CRR4,Red,20251113,Castle Rock,4,Crab,Heated,1.6000819715486965
CRR5,Red,20251124,Castle Rock,5,Crab,Heated,1.7250835794509882
CRR6,Red,20251115,Castle Rock,6,Crab,Heated,1.7033838647210195
RIB1,Blue,20251113,Ram Island,1,Crab,Ambient,1.533902466987575
RIB2,Blue,20251103,Ram Island,2,Crab,Ambient,1.6534388921189733
RIB3,Blue,20251110,Ram Island,3,Crab,Ambient,1.6963085614317766
RIB4,Blue,20251112,Ram Island,4,Crab,Ambient,1.655657699282957
RIB5,Blue,20251124,Ram Island,5,Crab,Ambient,1.7470905819515319
RIB6,Blue,20251110,Ram Island,6,Crab,Ambient,1.663536794675033
RIG1,Green,20251110,Ram Island,1,No crab,Ambient,1.7232284439494099
RIG2,Green,20251110,Ram Island,2,No crab,Ambient,1.6999428231952356
RIG3,Green,20251113,Ram Island,3,No crab,Ambient,1.5956170090258182
RIG4,Green,20251112,Ram Island,4,No crab,Ambient,1.6325624049575782
RIG5,Green,20251110,Ram Island,5,No crab,Ambient,1.6679545637429496
RIG6,Green,20251124,Ram Island,6,No crab,Ambient,1.685427435809429
RIP1,Pink,20251124,Ram Island,1,No crab,Heated,1.7112312129079403
RIP2,Pink,20251111,Ram Island,2,No crab,Heated,1.5522658960948592
RIP3,Pink,20251111,Ram Island,3,No crab,Heated,1.519830105706973
RIP4,Pink,20251111,Ram Island,4,No crab,Heated,1.5427172801283446
RIP5,Pink,20251111,Ram Island,5,No crab,Heated,1.5458635532493608
RIP6,Pink,20251115,Ram Island,6,No crab,Heated,1.6986132566135963
RIR1,Red,20251124,Ram Island,1,Crab,Heated,1.6325297109220616
RIR2,Red,20251111,Ram Island,2,Crab,Heated,1.528996226290143
RIR3,Red,20251115,Ram Island,3,Crab,Heated,1.633055736896841
RIR4,Red,20251111,Ram Island,4,Crab,Heated,1.563697465407679
RIR5,Red,20251113,Ram Island,5,Crab,Heated,1.5818399391831406
RIR6,Red,20251124,Ram Island,6,Crab,Heated,1.709390899637934
