sample_name,color,emergence_date,site,batch,predation,temperature,avg_length,avg_width,n_snails
BRB1,Blue,20250811,Bass Rock,1,Crab,Ambient,3.482,2.326,10
BRB2,Blue,20250808,Bass Rock,2,Crab,Ambient,3.31,2.176,10
BRB3,Blue,20250808,Bass Rock,3,Crab,Ambient,3.765,2.46,10
BRB4,Blue,20250811,Bass Rock,4,Crab,Ambient,2.95,1.919,10
BRB5,Blue,20250818,Bass Rock,5,Crab,Ambient,3.391,2.171,10
BRB6,Blue,20250811,Bass Rock,6,Crab,Ambient,3.753,2.424,10
BRG1,Green,20250815,Bass Rock,1,No crab,Ambient,3.5,2.332,10
BRG2,Green,20250815,Bass Rock,2,No crab,Ambient,3.359,2.341,10
BRG3,Green,20250820,Bass Rock,3,No crab,Ambient,4.595,3.05,10
BRG4,Green,20250808,Bass Rock,4,No crab,Ambient,3.475,2.263,10
BRG5,Green,20250818,Bass Rock,5,No crab,Ambient,4.083,2.587,10
BRG6,Green,20250815,Bass Rock,6,No crab,Ambient,3.154,2.078,10
BRP1,Pink,20250806,Bass Rock,1,No crab,Heated,2.926,1.958,10
BRP2,Pink,20250804,Bass Rock,2,No crab,Heated,2.689,1.819,10
BRP3,Pink,20250804,Bass Rock,3,No crab,Heated,3.255,2.23,2
BRP3,Pink,20250806,Bass Rock,3,No crab,Heated,3.42,2.3225,4
BRP4,Pink,20250804,Bass Rock,4,No crab,Heated,3.396,2.32,10
BRP5,Pink,20250815,Bass Rock,5,No crab,Heated,2.606,1.771,10
BRP6,Pink,20250806,Bass Rock,6,No crab,Heated,2.843,1.905,10
BRR2,Red,20250806,Bass Rock,2,Crab,Heated,2.983,2.035,10
BRR3,Red,20250806,Bass Rock,3,Crab,Heated,3.179,2.193,10
BRR4,Red,20250804,Bass Rock,4,Crab,Heated,2.812,1.885,10
BRR5,Red,20250818,Bass Rock,5,Crab,Heated,2.717,1.728,10
BRR6,Red,20250811,Bass Rock,6,Crab,Heated,2.648,1.747,10
CRB1,Blue,20250818,Castle Rock,1,Crab,Ambient,3.6470000000000002,2.306,10
CRB2,Blue,20250820,Castle Rock,2,Crab,Ambient,3.585,2.426,10
CRB3,Blue,20250806,Castle Rock,3,Crab,Ambient,2.867,1.944,10
CRB4,Blue,20250815,Castle Rock,4,Crab,Ambient,3.625,2.467,10
CRB5,Blue,20250815,Castle Rock,5,Crab,Ambient,4.319,2.821,10
CRB6,Blue,20250901,Castle Rock,6,Crab,Ambient,5.29,3.533333333333333,3
CRG1,Green,20250815,Castle Rock,1,No crab,Ambient,3.288,2.199,10
CRG2,Green,20250818,Castle Rock,2,No crab,Ambient,3.582,2.315,10
CRG3,Green,20250811,Castle Rock,3,No crab,Ambient,3.66,2.4699999999999998,10
CRG4,Green,20250818,Castle Rock,4,No crab,Ambient,4.338,2.816,10
CRG6,Green,20250820,Castle Rock,6,No crab,Ambient,4.0275,2.7199999999999998,8
CRP1,Pink,20250806,Castle Rock,1,No crab,Heated,2.985,2.028,10
CRP2,Pink,20250811,Castle Rock,2,No crab,Heated,3.376,2.154,10
CRP3,Pink,20250808,Castle Rock,3,No crab,Heated,2.874,1.911,10
CRP4,Pink,20250808,Castle Rock,4,No crab,Heated,3.183,2.1470000000000002,10
CRP6,Pink,20250815,Castle Rock,6,No crab,Heated,3.605,2.485,10
CRR1,Red,20250818,Castle Rock,1,Crab,Heated,3.6149999999999998,2.423,10
CRR2,Red,20250815,Castle Rock,2,Crab,Heated,2.9739999999999998,2.024,10
CRR3,Red,20250808,Castle Rock,3,Crab,Heated,3.38,2.302,10
CRR4,Red,20250808,Castle Rock,4,Crab,Heated,2.815,1.9609999999999999,10
CRR5,Red,20250820,Castle Rock,5,Crab,Heated,3.199,2.136,10
CRR6,Red,20250815,Castle Rock,6,Crab,Heated,3.184,2.176,10
RIB1,Blue,20250811,Ram Island,1,Crab,Ambient,4.398,2.886,10
RIB2,Blue,20250806,Ram Island,2,Crab,Ambient,3.726,2.491,10
