sample_name,color,emergence_date,site,batch,predation,temperature,avg_ratio
BRB1,Blue,20250711,Bass Rock,1,Crab,Ambient,1.135597326282526
BRB2,Blue,20250709,Bass Rock,2,Crab,Ambient,1.3148025377143446
BRB4,Blue,20250711,Bass Rock,4,Crab,Ambient,1.32884472049321
BRB5,Blue,20250716,Bass Rock,5,Crab,Ambient,1.257628625571306
BRB6,Blue,20250711,Bass Rock,6,Crab,Ambient,1.2398165877063072
BRG1,Green,20250714,Bass Rock,1,No crab,Ambient,1.180742412016348
BRG2,Green,20250714,Bass Rock,2,No crab,Ambient,1.1665999861993477
BRG3,Green,20250718,Bass Rock,3,No crab,Ambient,1.3175669699503496
BRG4,Green,20250709,Bass Rock,4,No crab,Ambient,1.1750441035481567
BRG5,Green,20250716,Bass Rock,5,No crab,Ambient,1.2641386544189424
BRG6,Green,20250714,Bass Rock,6,No crab,Ambient,1.2031585406034455
BRP1,Pink,20250707,Bass Rock,1,No crab,Heated,1.4048287415193619
BRP2,Pink,20250704,Bass Rock,2,No crab,Heated,1.386996077692495
BRP3,Pink,20250704,Bass Rock,3,No crab,Heated,1.5109141467621936
BRP4,Pink,20250704,Bass Rock,4,No crab,Heated,1.4310602718091414
BRP5,Pink,20250714,Bass Rock,5,No crab,Heated,1.198048390942986
BRP6,Pink,20250707,Bass Rock,6,No crab,Heated,1.2591847842979584
BRR2,Red,20250707,Bass Rock,2,Crab,Heated,1.3410283965722205
BRR3,Red,20250707,Bass Rock,3,Crab,Heated,1.302427678930104
BRR4,Red,20250704,Bass Rock,4,Crab,Heated,1.4916760305860597
BRR5,Red,20250716,Bass Rock,5,Crab,Heated,1.2018353226796181
BRR6,Red,20250711,Bass Rock,6,Crab,Heated,1.2925171631381214
CRB1,Blue,20250716,Castle Rock,1,Crab,Ambient,1.2804269369600865
CRB2,Blue,20250718,Castle Rock,2,Crab,Ambient,1.3593024698658118
CRB3,Blue,20250709,Castle Rock,3,Crab,Ambient,1.2997351655008789
CRB4,Blue,20250714,Castle Rock,4,Crab,Ambient,1.218416252607941
CRB5,Blue,20250714,Castle Rock,5,Crab,Ambient,1.270066055867735
CRB6,Blue,20250730,Castle Rock,6,Crab,Ambient,1.343885999708479
CRG1,Green,20250714,Castle Rock,1,No crab,Ambient,1.1484007070762052
CRG2,Green,20250716,Castle Rock,2,No crab,Ambient,1.2408627197668318
CRG3,Green,20250711,Castle Rock,3,No crab,Ambient,1.2860827085475308
CRG4,Green,20250716,Castle Rock,4,No crab,Ambient,1.2635160552886957
CRG5,Green,20250714,Castle Rock,5,No crab,Ambient,1.1950950702737502
CRG6,Green,20250718,Castle Rock,6,No crab,Ambient,1.3202307282639258
CRP1,Pink,20250709,Castle Rock,1,No crab,Heated,1.2034319263024744
CRP2,Pink,20250711,Castle Rock,2,No crab,Heated,1.3610734435588756
CRP3,Pink,20250709,Castle Rock,3,No crab,Heated,1.287761762533831
CRP4,Pink,20250709,Castle Rock,4,No crab,Heated,1.1453952382388375
CRP6,Pink,20250714,Castle Rock,6,No crab,Heated,1.2033138584497602
CRR1,Red,20250716,Castle Rock,1,Crab,Heated,1.252764877221569
CRR2,Red,20250714,Castle Rock,2,Crab,Heated,1.2540797910811552
CRR3,Red,20250709,Castle Rock,3,Crab,Heated,1.288173799622712
CRR4,Red,20250709,Castle Rock,4,Crab,Heated,1.3397622584620454
CRR5,Red,20250718,Castle Rock,5,Crab,Heated,1.3360674447504628
CRR6,Red,20250714,Castle Rock,6,Crab,Heated,1.2393934565650615
RIB1,Blue,20250711,Ram Island,1,Crab,Ambient,1.280502615800067
RIB2,Blue,20250707,Ram Island,2,Crab,Ambient,1.328564243671584
RIB3,Blue,20250709,Ram Island,3,Crab,Ambient,1.2614429924628525
RIB4,Blue,20250707,Ram Island,4,Crab,Ambient,1.31128613358037
RIB5,Blue,20250711,Ram Island,5,Crab,Ambient,1.1979583273068721
RIB6,Blue,20250725,Ram Island,6,Crab,Ambient,1.3336654641896533
RIG1,Green,20250718,Ram Island,1,No crab,Ambient,1.2953673141270037
RIG2,Green,20250704,Ram Island,2,No crab,Ambient,1.3922630917772023
RIG3,Green,20250709,Ram Island,3,No crab,Ambient,1.1214873280519888
RIG4,Green,20250707,Ram Island,4,No crab,Ambient,1.208228197690903
RIG5,Green,20250716,Ram Island,5,No crab,Ambient,1.257393068274003
RIG6,Green,20250718,Ram Island,6,No crab,Ambient,1.3208979869953654
RIP1,Pink,20250718,Ram Island,1,No crab,Heated,1.342209344969993
RIP2,Pink,20250630,Ram Island,2,No crab,Heated,1.3193517061853666
RIP3,Pink,20250704,Ram Island,3,No crab,Heated,1.3707120644725466
RIP4,Pink,20250704,Ram Island,4,No crab,Heated,1.4665910604791106
RIP5,Pink,20250704,Ram Island,5,No crab,Heated,1.4869820299731509
RIP6,Pink,20250711,Ram Island,6,No crab,Heated,1.1789053939824887
RIR1,Red,20250711,Ram Island,1,Crab,Heated,1.2421076271595157
RIR2,Red,20250630,Ram Island,2,Crab,Heated,1.3082179141179413
RIR3,Red,20250709,Ram Island,3,Crab,Heated,1.3397622584620454
RIR4,Red,20250702,Ram Island,4,Crab,Heated,1.3454263788787355
RIR5,Red,20250709,Ram Island,5,Crab,Heated,1.1260244233554688
RIR6,Red,20250716,Ram Island,6,Crab,Heated,1.309443836339683
