sample_name,color,one_month_date,site,batch,predation,temperature,avg_ratio
BRB1,Blue,20250811,Bass Rock,1,Crab,Ambient,1.4971360014229593
BRB2,Blue,20250808,Bass Rock,2,Crab,Ambient,1.515642804220595
BRB3,Blue,20250808,Bass Rock,3,Crab,Ambient,1.5333346553087488
BRB4,Blue,20250811,Bass Rock,4,Crab,Ambient,1.5366514991794116
BRB5,Blue,20250818,Bass Rock,5,Crab,Ambient,1.5541467101597206
BRB6,Blue,20250811,Bass Rock,6,Crab,Ambient,1.5506647587934366
BRG1,Green,20250815,Bass Rock,1,No crab,Ambient,1.5059121374483606
BRG2,Green,20250815,Bass Rock,2,No crab,Ambient,1.4348231215024871
BRG3,Green,20250820,Bass Rock,3,No crab,Ambient,1.507018078388818
BRG4,Green,20250808,Bass Rock,4,No crab,Ambient,1.5430868792932841
BRG5,Green,20250818,Bass Rock,5,No crab,Ambient,1.5790808295165177
BRG6,Green,20250815,Bass Rock,6,No crab,Ambient,1.5196529079239853
BRP1,Pink,20250806,Bass Rock,1,No crab,Heated,1.4961105082924482
BRP2,Pink,20250804,Bass Rock,2,No crab,Heated,1.4795430862199987
BRP3,Pink,20250804,Bass Rock,3,No crab,Heated,1.4642885916854658
BRP3,Pink,20250806,Bass Rock,3,No crab,Heated,1.4725629391199548
BRP4,Pink,20250804,Bass Rock,4,No crab,Heated,1.4641845759279426
BRP5,Pink,20250815,Bass Rock,5,No crab,Heated,1.4710482622990697
BRP6,Pink,20250806,Bass Rock,6,No crab,Heated,1.4899812219222046
BRR2,Red,20250806,Bass Rock,2,Crab,Heated,1.4697572046334622
BRR3,Red,20250806,Bass Rock,3,Crab,Heated,1.4496066474865388
BRR4,Red,20250804,Bass Rock,4,Crab,Heated,1.4958866011160017
BRR5,Red,20250818,Bass Rock,5,Crab,Heated,1.5692555550764262
BRR6,Red,20250811,Bass Rock,6,Crab,Heated,1.5177377929561264
CRB1,Blue,20250818,Castle Rock,1,Crab,Ambient,1.5821399583123108
CRB2,Blue,20250820,Castle Rock,2,Crab,Ambient,1.4748506471760283
CRB3,Blue,20250806,Castle Rock,3,Crab,Ambient,1.4758857509887335
CRB4,Blue,20250815,Castle Rock,4,Crab,Ambient,1.4701569951172404
CRB5,Blue,20250815,Castle Rock,5,Crab,Ambient,1.5340479222083474
CRB6,Blue,20250901,Castle Rock,6,Crab,Ambient,1.4988260010548746
CRG1,Green,20250815,Castle Rock,1,No crab,Ambient,1.4971968969202925
CRG2,Green,20250818,Castle Rock,2,No crab,Ambient,1.5412717413299306
CRG3,Green,20250811,Castle Rock,3,No crab,Ambient,1.4830055320747952
CRG4,Green,20250818,Castle Rock,4,No crab,Ambient,1.5406245145844015
CRG6,Green,20250820,Castle Rock,6,No crab,Ambient,1.4811962307168465
CRP1,Pink,20250806,Castle Rock,1,No crab,Heated,1.4718758128115368
CRP2,Pink,20250811,Castle Rock,2,No crab,Heated,1.5638009137535673
CRP3,Pink,20250808,Castle Rock,3,No crab,Heated,1.5025354824403105
CRP4,Pink,20250808,Castle Rock,4,No crab,Heated,1.4822765534737674
CRP6,Pink,20250815,Castle Rock,6,No crab,Heated,1.4535473079364745
CRR1,Red,20250818,Castle Rock,1,Crab,Heated,1.4915601825542746
CRR2,Red,20250815,Castle Rock,2,Crab,Heated,1.4727541629720746
CRR3,Red,20250808,Castle Rock,3,Crab,Heated,1.4677019393363946
CRR4,Red,20250808,Castle Rock,4,Crab,Heated,1.4375890640481126
CRR5,Red,20250820,Castle Rock,5,Crab,Heated,1.4973658949849986
CRR6,Red,20250815,Castle Rock,6,Crab,Heated,1.4643334959592078
RIB1,Blue,20250811,Ram Island,1,Crab,Ambient,1.5283147444124308
RIB2,Blue,20250806,Ram Island,2,Crab,Ambient,1.4971428482615259
RIB3,Blue,20250808,Ram Island,3,Crab,Ambient,1.520513912517887
RIB4,Blue,20250806,Ram Island,4,Crab,Ambient,1.4804351651850132
RIB5,Blue,20250811,Ram Island,5,Crab,Ambient,1.570704769900006
RIB6,Blue,20250825,Ram Island,6,Crab,Ambient,1.5764016100707314
RIG1,Green,20250820,Ram Island,1,No crab,Ambient,1.4872667282281131
RIG2,Green,20250804,Ram Island,2,No crab,Ambient,1.5430703020241796
RIG3,Green,20250808,Ram Island,3,No crab,Ambient,1.465062653389062
RIG4,Green,20250806,Ram Island,4,No crab,Ambient,1.4951034885903445
RIG5,Green,20250818,Ram Island,5,No crab,Ambient,1.5939226360575034
RIG6,Green,20250820,Ram Island,6,No crab,Ambient,1.4579157230621314
RIP1,Pink,20250820,Ram Island,1,No crab,Heated,1.4545691454722884
RIP2,Pink,20250801,Ram Island,2,No crab,Heated,1.5392592793362543
RIP3,Pink,20250804,Ram Island,3,No crab,Heated,1.5057929543765822
RIP4,Pink,20250801,Ram Island,4,No crab,Heated,1.4948101728165135
RIP5,Pink,20250804,Ram Island,5,No crab,Heated,1.4875637498470584
RIP6,Pink,20250811,Ram Island,6,No crab,Heated,1.5219621627285704
RIR1,Red,20250811,Ram Island,1,Crab,Heated,1.5151952211711475
RIR2,Red,20250801,Ram Island,2,Crab,Heated,1.4416853001817047
RIR3,Red,20250808,Ram Island,3,Crab,Heated,1.4582779795621115
RIR5,Red,20250808,Ram Island,5,Crab,Heated,1.501816510110454
RIR6,Red,20250818,Ram Island,6,Crab,Heated,1.5804218192588693
